,days,dow,rank,daily,theaters,special events
0,2019-04-26,Friday,1,157461641.,4662,nan
1,2019-04-27,Saturday,1,109264122.,4662,nan
2,2019-04-28,Sunday,1,90389244.0,4662,nan
3,2019-04-29,Monday,1,36874439.0,4662,nan
4,2019-04-30,Tuesday,1,33110349.0,4662,nan
5,2019-05-01,Wednesday,1,25251991.0,4662,nan
6,2019-05-02,Thursday,1,21542852.0,4662,nan
7,2019-05-03,Friday,1,40736774.0,4662,nan
8,2019-05-04,Saturday,1,61527049.0,4662,nan
9,2019-05-05,Sunday,1,45119388.0,4662,nan
10,2019-05-06,Monday,1,10709607.0,4662,nan
11,2019-05-07,Tuesday,1,12518963.0,4662,nan
12,2019-05-08,Wednesday,1,8429166.0,4662,nan
13,2019-05-09,Thursday,1,7510154.0,4662,nan
14,2019-05-10,Friday,2,16190479.0,4662,nan
15,2019-05-11,Saturday,1,27542359.0,4662,nan
16,2019-05-12,Sunday,1,19567066.0,4662,nan
17,2019-05-13,Monday,1,4702092.0,4662,nan
18,2019-05-14,Tuesday,1,5742618.0,4662,nan
19,2019-05-15,Wednesday,1,3788021.0,4662,nan
20,2019-05-16,Thursday,1,3416496.0,4662,nan
21,2019-05-17,Friday,2,7470727.0,4220,nan
22,2019-05-18,Saturday,2,12903478.0,4220,nan
23,2019-05-19,Sunday,2,9599300.0,4220,nan
24,2019-05-20,Monday,2,3162240.0,4220,nan
25,2019-05-21,Tuesday,2,2900871.0,4220,nan
26,2019-05-22,Wednesday,2,1994512.0,4220,nan
27,2019-05-23,Thursday,2,1905738.0,4220,nan
28,2019-05-24,Friday,3,4278676.0,3810,nan
29,2019-05-25,Saturday,3,6452368.0,3810,nan
30,2019-05-26,Sunday,3,6469698.0,3810,nan
31,2019-05-27,Monday,3,4863113.0,3810,Memorial Day
32,2019-05-28,Tuesday,3,1867668.0,3810,nan
33,2019-05-29,Wednesday,3,1288624.0,3810,nan
34,2019-05-30,Thursday,3,1136901.0,3810,nan
35,2019-05-31,Friday,6,2074012.0,3105,nan
36,2019-06-01,Saturday,6,3380393.0,3105,nan
37,2019-06-02,Sunday,6,2583086.0,3105,nan
38,2019-06-03,Monday,6,869816.0,3105,nan
39,2019-06-04,Tuesday,7,1208347.0,3105,nan
40,2019-06-05,Wednesday,6,900345.0,3105,nan
41,2019-06-06,Thursday,6,861157.0,3105,nan
42,2019-06-07,Friday,8,1251593.0,2121,nan
43,2019-06-08,Saturday,8,2035511.0,2121,nan
44,2019-06-09,Sunday,8,1583859.0,2121,nan
45,2019-06-10,Monday,8,598373.0,2121,nan
46,2019-06-11,Tuesday,8,790276.0,2121,nan
47,2019-06-12,Wednesday,8,601476.0,2121,nan
48,2019-06-13,Thursday,8,547331.0,2121,nan
49,2019-06-14,Friday,12,832020.0,1450,nan
50,2019-06-15,Saturday,11,1385165.0,1450,nan
51,2019-06-16,Sunday,9,1508670.0,1450,nan
52,2019-06-17,Monday,11,470423.0,1450,nan
53,2019-06-18,Tuesday,11,598268.0,1450,nan
54,2019-06-19,Wednesday,11,459630.0,1450,nan
55,2019-06-20,Thursday,10,380431.0,1450,nan
56,2019-06-21,Friday,13,530906.0,985,nan
57,2019-06-22,Saturday,13,818809.0,985,nan
58,2019-06-23,Sunday,13,638134.0,985,nan
59,2019-06-24,Monday,13,272691.0,985,nan
60,2019-06-25,Tuesday,14,346028.0,985,nan
61,2019-06-26,Wednesday,14,266300.0,985,nan
62,2019-06-27,Thursday,12,299327.0,985,nan
63,2019-06-28,Friday,7,1874259.0,2025,nan
64,2019-06-29,Saturday,7,2298821.0,2025,nan
65,2019-06-30,Sunday,7,1935656.0,2025,nan
66,2019-07-01,Monday,7,873149.0,2025,nan
67,2019-07-02,Tuesday,8,585678.0,1985,nan
68,2019-07-03,Wednesday,9,624819.0,1985,nan
69,2019-07-04,Thursday,8,789290.0,1985,Independence Day
70,2019-07-05,Friday,9,1075221.0,1985,nan
71,2019-07-06,Saturday,9,1215061.0,1985,nan
72,2019-07-07,Sunday,9,828035.0,1985,nan
73,2019-07-08,Monday,9,381012.0,1985,nan
74,2019-07-09,Tuesday,9,506745.0,1985,nan
75,2019-07-10,Wednesday,9,384327.0,1985,nan
76,2019-07-11,Thursday,9,354905.0,1985,nan
77,2019-07-12,Friday,11,600453.0,1443,nan
78,2019-07-13,Saturday,11,840087.0,1443,nan
79,2019-07-14,Sunday,10,663736.0,1443,nan
80,2019-07-15,Monday,10,332736.0,1443,nan
81,2019-07-16,Tuesday,10,437462.0,1443,nan
82,2019-07-17,Wednesday,10,354276.0,1443,nan
83,2019-07-18,Thursday,10,280304.0,1443,nan
84,2019-07-19,Friday,10,460931.0,985,nan
85,2019-07-20,Saturday,11,597841.0,985,nan
86,2019-07-21,Sunday,11,455969.0,985,nan
87,2019-07-22,Monday,11,257846.0,985,nan
88,2019-07-23,Tuesday,11,306920.0,985,nan
89,2019-07-24,Wednesday,10,267954.0,985,nan
90,2019-07-25,Thursday,9,259095.0,985,nan
91,2019-07-26,Friday,11,294644.0,580,nan
92,2019-07-27,Saturday,11,411659.0,580,nan
93,2019-07-28,Sunday,13,246306.0,580,nan
94,2019-07-29,Monday,14,130571.0,580,nan
95,2019-07-30,Tuesday,14,154435.0,580,nan
96,2019-07-31,Wednesday,15,119142.0,580,nan
97,2019-08-01,Thursday,12,115829.0,580,nan
98,2019-08-02,Friday,14,112100.0,420,nan
99,2019-08-03,Saturday,14,151897.0,420,nan
100,2019-08-04,Sunday,14,119161.0,420,nan
101,2019-08-05,Monday,14,65861.0,420,nan
102,2019-08-06,Tuesday,16,69997.0,420,nan
103,2019-08-07,Wednesday,16,56021.0,420,nan
104,2019-08-08,Thursday,16,48396.0,420,nan
105,2019-08-09,Friday,20,56272.0,237,nan
106,2019-08-10,Saturday,19,86232.0,237,nan
107,2019-08-11,Sunday,19,67488.0,237,nan
108,2019-08-12,Monday,19,31799.0,237,nan
