,days,dow,rank,daily,theaters,special events
0,2015-11-20,Friday,1,45579056.0,4175,nan
1,2015-11-21,Saturday,1,33841369.0,4175,nan
2,2015-11-22,Sunday,1,23245556.0,4175,nan
3,2015-11-23,Monday,1,8540357.0,4175,nan
4,2015-11-24,Tuesday,1,11356003.0,4175,nan
5,2015-11-25,Wednesday,1,13663451.0,4175,nan
6,2015-11-26,Thursday,1,10314742.0,4175,Thanksgiving
7,2015-11-27,Friday,1,21263932.0,4175,nan
8,2015-11-28,Saturday,1,20215233.0,4175,nan
9,2015-11-29,Sunday,1,10525430.0,4175,nan
10,2015-11-30,Monday,1,2546218.0,4175,nan
11,2015-12-01,Tuesday,1,3102455.0,4175,nan
12,2015-12-02,Wednesday,1,2186352.0,4175,nan
13,2015-12-03,Thursday,1,2131846.0,4175,nan
14,2015-12-04,Friday,2,5664847.0,4086,nan
15,2015-12-05,Saturday,1,8301010.0,4086,nan
16,2015-12-06,Sunday,1,4891690.0,4086,nan
17,2015-12-07,Monday,1,1365908.0,4086,nan
18,2015-12-08,Tuesday,1,1790383.0,4086,nan
19,2015-12-09,Wednesday,1,1380282.0,4086,nan
20,2015-12-10,Thursday,1,1284836.0,4086,nan
21,2015-12-11,Friday,2,3306775.0,3651,nan
22,2015-12-12,Saturday,1,5021834.0,3651,nan
23,2015-12-13,Sunday,2,3084707.0,3651,nan
24,2015-12-14,Monday,2,1022526.0,3651,nan
25,2015-12-15,Tuesday,2,1256386.0,3651,nan
26,2015-12-16,Wednesday,1,1030120.0,3651,nan
27,2015-12-17,Thursday,1,875470.0,3651,nan
28,2015-12-18,Friday,4,1543423.0,2653,nan
29,2015-12-19,Saturday,4,2299127.0,2653,nan
30,2015-12-20,Sunday,4,1850133.0,2653,nan
31,2015-12-21,Monday,4,1203588.0,2653,nan
32,2015-12-22,Tuesday,5,1433638.0,2653,nan
33,2015-12-23,Wednesday,5,1324378.0,2653,nan
34,2015-12-24,Thursday,6,819796.0,2653,nan
35,2015-12-25,Friday,11,1502628.0,1813,Christmas Day
36,2015-12-26,Saturday,9,2059324.0,1813,nan
37,2015-12-27,Sunday,9,1715876.0,1813,nan
38,2015-12-28,Monday,9,1345163.0,1813,nan
39,2015-12-29,Tuesday,10,1358613.0,1813,nan
40,2015-12-30,Wednesday,11,1303498.0,1813,nan
41,2015-12-31,Thursday,11,1021162.0,1813,New Year's Eve
42,2016-01-01,Friday,10,1740412.0,1485,New Year's Day
43,2016-01-02,Saturday,10,1846722.0,1485,nan
44,2016-01-03,Sunday,10,1029140.0,1485,nan
45,2016-01-04,Monday,10,388171.0,1485,nan
46,2016-01-05,Tuesday,10,360573.0,1485,nan
47,2016-01-06,Wednesday,10,288529.0,1485,nan
48,2016-01-07,Thursday,10,248942.0,1485,nan
49,2016-01-08,Friday,12,589238.0,1227,nan
50,2016-01-09,Saturday,11,982061.0,1227,nan
51,2016-01-10,Sunday,13,535588.0,1227,nan
52,2016-01-11,Monday,13,145352.0,1227,nan
53,2016-01-12,Tuesday,13,177198.0,1227,nan
54,2016-01-13,Wednesday,13,149363.0,1227,nan
55,2016-01-14,Thursday,15,128458.0,1227,nan
56,2016-01-15,Friday,17,296944.0,797,nan
57,2016-01-16,Saturday,16,488485.0,797,nan
58,2016-01-17,Sunday,16,346707.0,797,nan
59,2016-01-18,Monday,17,288580.0,797,MLK Day
60,2016-01-19,Tuesday,20,92096.0,797,nan
61,2016-01-20,Wednesday,19,65653.0,797,nan
62,2016-01-21,Thursday,19,67741.0,797,nan
63,2016-01-22,Friday,21,129071.0,516,nan
64,2016-01-23,Saturday,19,242755.0,516,nan
65,2016-01-24,Sunday,20,105557.0,516,nan
66,2016-01-25,Monday,22,37623.0,516,nan
67,2016-01-26,Tuesday,20,48229.0,516,nan
68,2016-01-27,Wednesday,22,41143.0,516,nan
69,2016-01-28,Thursday,22,38038.0,516,nan
70,2016-01-29,Friday,26,73002.0,254,nan
71,2016-01-30,Saturday,25,129801.0,254,nan
72,2016-01-31,Sunday,26,67241.0,254,nan
73,2016-02-01,Monday,26,19592.0,254,nan
74,2016-02-02,Tuesday,25,22687.0,254,nan
75,2016-02-03,Wednesday,25,18508.0,254,nan
76,2016-02-04,Thursday,26,15452.0,254,nan
77,2016-02-05,Friday,24,49735.0,207,nan
78,2016-02-06,Saturday,25,86955.0,207,nan
79,2016-02-07,Sunday,28,25537.0,207,nan
80,2016-02-08,Monday,28,13632.0,207,nan
81,2016-02-09,Tuesday,27,15542.0,207,nan
82,2016-02-10,Wednesday,27,13461.0,207,nan
83,2016-02-11,Thursday,27,13851.0,207,nan
84,2016-02-12,Friday,22,71287.0,245,nan
85,2016-02-13,Saturday,22,122885.0,245,nan
86,2016-02-14,Sunday,23,114198.0,245,nan
87,2016-02-15,Monday,22,61608.0,245,Presidents' Day
88,2016-02-16,Tuesday,23,26509.0,245,nan
89,2016-02-17,Wednesday,23,21231.0,245,nan
90,2016-02-18,Thursday,22,22984.0,245,nan
91,2016-02-19,Friday,28,51702.0,215,nan
92,2016-02-20,Saturday,28,88932.0,215,nan
93,2016-02-21,Sunday,28,52236.0,215,nan
94,2016-02-22,Monday,29,13428.0,215,nan
95,2016-02-23,Tuesday,29,14978.0,215,nan
96,2016-02-24,Wednesday,29,14102.0,215,nan
97,2016-02-25,Thursday,30,15336.0,215,nan
