,days,dow,rank,daily,theaters,special events
0,2018-10-05,Friday,1,32503530.0,4250,nan
1,2018-10-06,Saturday,1,26371927.0,4250,nan
2,2018-10-07,Sunday,1,21380299.0,4250,nan
3,2018-10-08,Monday,1,9631343.0,4250,Indig. Peoples' Day
4,2018-10-09,Tuesday,1,8228610.0,4250,nan
5,2018-10-10,Wednesday,1,4731282.0,4250,nan
6,2018-10-11,Thursday,2,4255160.0,4250,nan
7,2018-10-12,Friday,1,9775629.0,4250,nan
8,2018-10-13,Saturday,1,15275974.0,4250,nan
9,2018-10-14,Sunday,1,9954504.0,4250,nan
10,2018-10-15,Monday,2,2835694.0,4250,nan
11,2018-10-16,Tuesday,2,3735722.0,4250,nan
12,2018-10-17,Wednesday,2,2238934.0,4250,nan
13,2018-10-18,Thursday,2,2101487.0,4250,nan
14,2018-10-19,Friday,3,5085966.0,3887,nan
15,2018-10-20,Saturday,3,7915856.0,3887,nan
16,2018-10-21,Sunday,3,5042065.0,3887,nan
17,2018-10-22,Monday,3,1288117.0,3887,nan
18,2018-10-23,Tuesday,3,1837977.0,3887,nan
19,2018-10-24,Wednesday,3,1124466.0,3887,nan
20,2018-10-25,Thursday,3,1167772.0,3887,nan
21,2018-10-26,Friday,3,2867294.0,3567,nan
22,2018-10-27,Saturday,3,4770382.0,3567,nan
23,2018-10-28,Sunday,3,3014705.0,3567,nan
24,2018-10-29,Monday,3,802489.0,3567,nan
25,2018-10-30,Tuesday,3,1130936.0,3567,nan
26,2018-10-31,Wednesday,3,965481.0,3567,Halloween
27,2018-11-01,Thursday,3,779747.0,3567,nan
28,2018-11-02,Friday,6,2061709.0,3067,nan
29,2018-11-03,Saturday,6,3608411.0,3067,nan
30,2018-11-04,Sunday,6,2207054.0,3067,nan
31,2018-11-05,Monday,6,608273.0,3067,nan
32,2018-11-06,Tuesday,5,1027684.0,3067,nan
33,2018-11-07,Wednesday,6,531708.0,3067,nan
34,2018-11-08,Thursday,5,525416.0,3067,nan
35,2018-11-09,Friday,8,1272926.0,2351,nan
36,2018-11-10,Saturday,8,2161398.0,2351,nan
37,2018-11-11,Sunday,8,1481054.0,2351,nan
38,2018-11-12,Monday,8,811354.0,2351,nan
39,2018-11-13,Tuesday,8,468566.0,2351,nan
40,2018-11-14,Wednesday,8,315748.0,2351,nan
41,2018-11-15,Thursday,9,206394.0,2351,nan
42,2018-11-16,Friday,11,503248.0,1307,nan
43,2018-11-17,Saturday,12,890423.0,1307,nan
44,2018-11-18,Sunday,12,582954.0,1307,nan
45,2018-11-19,Monday,9,268914.0,1307,nan
46,2018-11-20,Tuesday,10,266038.0,1307,nan
47,2018-11-21,Wednesday,14,170870.0,585,nan
48,2018-11-22,Thursday,14,147573.0,585,Thanksgiving
49,2018-11-23,Friday,15,292096.0,585,nan
50,2018-11-24,Saturday,15,320391.0,585,nan
51,2018-11-25,Sunday,15,154213.0,585,nan
52,2018-11-26,Monday,17,48522.0,585,nan
53,2018-11-27,Tuesday,17,61197.0,585,nan
54,2018-11-28,Wednesday,20,44789.0,585,nan
55,2018-11-29,Thursday,21,38381.0,585,nan
56,2018-11-30,Friday,18,103526.0,425,nan
57,2018-12-01,Saturday,21,171145.0,425,nan
58,2018-12-02,Sunday,19,102725.0,425,nan
59,2018-12-03,Monday,20,32558.0,425,nan
60,2018-12-04,Tuesday,20,41380.0,425,nan
61,2018-12-05,Wednesday,24,34065.0,425,nan
62,2018-12-06,Thursday,21,35115.0,425,nan
63,2018-12-07,Friday,19,79860.0,388,nan
64,2018-12-08,Saturday,19,141948.0,388,nan
65,2018-12-09,Sunday,19,85506.0,388,nan
66,2018-12-10,Monday,22,28201.0,388,nan
67,2018-12-11,Tuesday,20,37964.0,388,nan
68,2018-12-12,Wednesday,23,27457.0,388,nan
69,2018-12-13,Thursday,23,22874.0,388,nan
