,days,dow,rank,daily,theaters,special events
0,2020-02-28,Friday,1,9979880.0,3610,nan
1,2020-02-29,Saturday,1,11195770.0,3610,nan
2,2020-03-01,Sunday,1,7030015.0,3610,nan
3,2020-03-02,Monday,1,2076325.0,3610,nan
4,2020-03-03,Tuesday,1,3456185.0,3610,nan
5,2020-03-04,Wednesday,1,1997250.0,3610,nan
6,2020-03-05,Thursday,1,1808145.0,3610,nan
7,2020-03-06,Friday,2,4320360.0,3610,nan
8,2020-03-07,Saturday,2,6761240.0,3610,nan
9,2020-03-08,Sunday,2,4050740.0,3610,nan
10,2020-03-09,Monday,2,1350105.0,3610,nan
11,2020-03-10,Tuesday,2,2073340.0,3610,nan
12,2020-03-11,Wednesday,2,1269095.0,3610,nan
13,2020-03-12,Thursday,2,1051235.0,3610,COVID-19 Pandemic
14,2020-03-13,Friday,5,1834115.0,3636,COVID-19 Pandemic
15,2020-03-14,Saturday,4,2531500.0,3636,COVID-19 Pandemic
16,2020-03-15,Sunday,4,1525190.0,3636,COVID-19 Pandemic
17,2020-03-16,Monday,4,410320.0,3636,COVID-19 Pandemic
18,2020-03-17,Tuesday,4,138605.0,3636,COVID-19 Pandemic
19,2020-03-18,Wednesday,4,32835.0,3636,COVID-19 Pandemic
20,2020-03-19,Thursday,2,21800.0,3636,COVID-19 Pandemic
