,days,dow,rank,daily,theaters,special events
0,2019-06-21,Friday,1,47406956.0,4575,nan
1,2019-06-22,Saturday,1,39524776.0,4575,nan
2,2019-06-23,Sunday,1,33976333.0,4575,nan
3,2019-06-24,Monday,1,14152710.0,4575,nan
4,2019-06-25,Tuesday,1,20570969.0,4575,nan
5,2019-06-26,Wednesday,1,11950952.0,4575,nan
6,2019-06-27,Thursday,1,11407113.0,4575,nan
7,2019-06-28,Friday,1,17089977.0,4575,nan
8,2019-06-29,Saturday,1,23043114.0,4575,nan
9,2019-06-30,Sunday,1,19567240.0,4575,nan
10,2019-07-01,Monday,1,7960780.0,4575,nan
11,2019-07-02,Tuesday,2,10164415.0,4557,nan
12,2019-07-03,Wednesday,2,7704752.0,4557,nan
13,2019-07-04,Thursday,2,7737457.0,4557,Independence Day
14,2019-07-05,Friday,2,11901267.0,4540,nan
15,2019-07-06,Saturday,2,12830622.0,4540,nan
16,2019-07-07,Sunday,2,9128466.0,4540,nan
17,2019-07-08,Monday,2,4174707.0,4540,nan
18,2019-07-09,Tuesday,2,6675157.0,4540,nan
19,2019-07-10,Wednesday,2,4305709.0,4540,nan
20,2019-07-11,Thursday,2,4431102.0,4540,nan
21,2019-07-12,Friday,2,6253453.0,4210,nan
22,2019-07-13,Saturday,2,8201112.0,4210,nan
23,2019-07-14,Sunday,2,6491074.0,4210,nan
24,2019-07-15,Monday,2,2810085.0,4210,nan
25,2019-07-16,Tuesday,2,4957061.0,4210,nan
26,2019-07-17,Wednesday,2,3444416.0,4210,nan
27,2019-07-18,Thursday,2,3071574.0,4210,nan
28,2019-07-19,Friday,3,4629310.0,3750,nan
29,2019-07-20,Saturday,3,6225679.0,3750,nan
30,2019-07-21,Sunday,3,4696097.0,3750,nan
31,2019-07-22,Monday,3,2035725.0,3750,nan
32,2019-07-23,Tuesday,3,3301452.0,3750,nan
33,2019-07-24,Wednesday,3,2003406.0,3750,nan
34,2019-07-25,Thursday,3,1931488.0,3750,nan
35,2019-07-26,Friday,4,3154891.0,3610,nan
36,2019-07-27,Saturday,4,4213846.0,3610,nan
37,2019-07-28,Sunday,4,3084896.0,3610,nan
38,2019-07-29,Monday,4,1430583.0,3610,nan
39,2019-07-30,Tuesday,4,2315567.0,3610,nan
40,2019-07-31,Wednesday,4,1529941.0,3610,nan
41,2019-08-01,Thursday,4,1414513.0,3610,nan
42,2019-08-02,Friday,5,2199693.0,3225,nan
43,2019-08-03,Saturday,5,3025863.0,3225,nan
44,2019-08-04,Sunday,5,2123575.0,3225,nan
45,2019-08-05,Monday,5,1072748.0,3225,nan
46,2019-08-06,Tuesday,5,1651893.0,3225,nan
47,2019-08-07,Wednesday,5,1180537.0,3225,nan
48,2019-08-08,Thursday,5,1023316.0,3225,nan
49,2019-08-09,Friday,9,1328054.0,2295,nan
50,2019-08-10,Saturday,9,1875933.0,2295,nan
51,2019-08-11,Sunday,9,1321452.0,2295,nan
52,2019-08-12,Monday,8,628202.0,2295,nan
53,2019-08-13,Tuesday,10,944028.0,2295,nan
54,2019-08-14,Wednesday,10,547800.0,2295,nan
55,2019-08-15,Thursday,10,438470.0,2295,nan
56,2019-08-16,Friday,14,546185.0,1245,nan
57,2019-08-17,Saturday,14,930995.0,1245,nan
58,2019-08-18,Sunday,13,674023.0,1245,nan
