,days,dow,rank,daily,theaters,special events
0,2020-09-03,Thursday,1,4986442.0,2810,COVID-19 Pandemic
1,2020-09-04,Friday,1,2806227.0,2810,COVID-19 Pandemic
2,2020-09-05,Saturday,1,3566279.0,2810,COVID-19 Pandemic
3,2020-09-06,Sunday,1,2980584.0,2810,COVID-19 Pandemic
4,2020-09-07,Monday,1,2275661.0,2810,COVID-19 Pandemic-Labor Day
5,2020-09-08,Tuesday,1,926646.0,2810,COVID-19 Pandemic
6,2020-09-09,Wednesday,1,798409.0,2810,COVID-19 Pandemic
7,2020-09-10,Thursday,1,766230.0,2810,COVID-19 Pandemic
8,2020-09-11,Friday,1,1984309.0,2910,COVID-19 Pandemic
9,2020-09-12,Saturday,1,2990971.0,2910,COVID-19 Pandemic
10,2020-09-13,Sunday,1,1628187.0,2899,COVID-19 Pandemic
11,2020-09-14,Monday,1,560801.0,2910,COVID-19 Pandemic
12,2020-09-15,Tuesday,1,694845.0,2910,COVID-19 Pandemic
13,2020-09-16,Wednesday,1,605553.0,2910,COVID-19 Pandemic
14,2020-09-17,Thursday,1,575671.0,2910,COVID-19 Pandemic
15,2020-09-18,Friday,1,1404645.0,2930,COVID-19 Pandemic
16,2020-09-19,Saturday,1,2085566.0,2930,COVID-19 Pandemic
17,2020-09-20,Sunday,1,1078259.0,2930,COVID-19 Pandemic
18,2020-09-21,Monday,1,405744.0,2930,COVID-19 Pandemic
19,2020-09-22,Tuesday,1,509070.0,2930,COVID-19 Pandemic
20,2020-09-23,Wednesday,1,409102.0,2930,COVID-19 Pandemic
21,2020-09-24,Thursday,1,427566.0,2930,COVID-19 Pandemic
22,2020-09-25,Friday,1,1054891.0,2850,COVID-19 Pandemic
23,2020-09-26,Saturday,1,1478435.0,2850,COVID-19 Pandemic
24,2020-09-27,Sunday,1,815014.0,2850,COVID-19 Pandemic
25,2020-09-28,Monday,1,305051.0,2850,COVID-19 Pandemic
26,2020-09-29,Tuesday,1,344118.0,2850,COVID-19 Pandemic
27,2020-09-30,Wednesday,1,296594.0,2850,COVID-19 Pandemic
28,2020-10-01,Thursday,1,335988.0,2850,COVID-19 Pandemic
29,2020-10-02,Friday,1,768968.0,2722,COVID-19 Pandemic
30,2020-10-03,Saturday,1,1246825.0,2722,COVID-19 Pandemic
31,2020-10-04,Sunday,1,648409.0,2722,COVID-19 Pandemic
32,2020-10-05,Monday,1,228701.0,2722,COVID-19 Pandemic
33,2020-10-06,Tuesday,1,292044.0,2722,COVID-19 Pandemic
34,2020-10-07,Wednesday,1,260881.0,2722,COVID-19 Pandemic
35,2020-10-08,Thursday,1,274162.0,2722,COVID-19 Pandemic
36,2020-10-09,Friday,2,615195.0,2215,COVID-19 Pandemic
37,2020-10-10,Saturday,2,943341.0,2215,COVID-19 Pandemic
38,2020-10-11,Sunday,2,541844.0,2215,COVID-19 Pandemic
39,2020-10-12,Monday,2,262867.0,2215,COVID-19 Pandemic-Indig. Peoples' Day
40,2020-10-13,Tuesday,2,200641.0,2215,COVID-19 Pandemic
41,2020-10-14,Wednesday,2,177684.0,2215,COVID-19 Pandemic
42,2020-10-15,Thursday,2,162348.0,2215,COVID-19 Pandemic
43,2020-10-16,Friday,3,470767.0,2001,COVID-19 Pandemic
44,2020-10-17,Saturday,3,681336.0,2001,COVID-19 Pandemic
45,2020-10-18,Sunday,3,391994.0,2001,COVID-19 Pandemic
46,2020-10-19,Monday,3,126150.0,2001,COVID-19 Pandemic
47,2020-10-20,Tuesday,3,150867.0,2001,COVID-19 Pandemic
48,2020-10-21,Wednesday,3,132711.0,2001,COVID-19 Pandemic
