,days,dow,rank,daily,theaters,special events
0,2017-04-14,Friday,1,45695015.0,4310,nan
1,2017-04-15,Saturday,1,31543625.0,4310,nan
2,2017-04-16,Sunday,1,21548065.0,4310,Easter Sunday
3,2017-04-17,Monday,1,8524260.0,4310,nan
4,2017-04-18,Tuesday,1,8150190.0,4310,nan
5,2017-04-19,Wednesday,1,4891515.0,4310,nan
6,2017-04-20,Thursday,1,4543550.0,4310,nan
7,2017-04-21,Friday,1,10984225.0,4329,nan
8,2017-04-22,Saturday,1,16942100.0,4329,nan
9,2017-04-23,Sunday,1,10482090.0,4329,nan
10,2017-04-24,Monday,1,2462540.0,4329,nan
11,2017-04-25,Tuesday,1,3512405.0,4329,nan
12,2017-04-26,Wednesday,1,2111370.0,4329,nan
13,2017-04-27,Thursday,1,1940625.0,4329,nan
14,2017-04-28,Friday,1,5144730.0,4077,nan
15,2017-04-29,Saturday,1,8983250.0,4077,nan
16,2017-04-30,Sunday,1,5808560.0,4077,nan
17,2017-05-01,Monday,1,1340125.0,4077,nan
18,2017-05-02,Tuesday,1,1869080.0,4077,nan
19,2017-05-03,Wednesday,1,1168220.0,4077,nan
20,2017-05-04,Thursday,1,961990.0,4077,nan
21,2017-05-05,Friday,2,2256505.0,3595,nan
22,2017-05-06,Saturday,2,3849730.0,3595,nan
23,2017-05-07,Sunday,2,2470940.0,3595,nan
24,2017-05-08,Monday,2,601450.0,3595,nan
25,2017-05-09,Tuesday,2,852400.0,3595,nan
26,2017-05-10,Wednesday,2,568535.0,3595,nan
27,2017-05-11,Thursday,2,526840.0,3595,nan
28,2017-05-12,Friday,4,1380325.0,3067,nan
29,2017-05-13,Saturday,4,2343000.0,3067,nan
30,2017-05-14,Sunday,6,1677520.0,3067,nan
31,2017-05-15,Monday,4,385320.0,3067,nan
32,2017-05-16,Tuesday,4,512135.0,3067,nan
33,2017-05-17,Wednesday,4,354565.0,3067,nan
34,2017-05-18,Thursday,4,323505.0,3067,nan
35,2017-05-19,Friday,7,825790.0,2287,nan
36,2017-05-20,Saturday,7,1444270.0,2287,nan
37,2017-05-21,Sunday,7,963980.0,2287,nan
38,2017-05-22,Monday,8,343345.0,2287,nan
39,2017-05-23,Tuesday,8,330270.0,2287,nan
40,2017-05-24,Wednesday,7,242860.0,2287,nan
41,2017-05-25,Thursday,11,190055.0,2287,nan
42,2017-05-26,Friday,10,378425.0,1358,nan
43,2017-05-27,Saturday,10,574690.0,1358,nan
44,2017-05-28,Sunday,10,538945.0,1358,nan
45,2017-05-29,Monday,11,399455.0,1358,Memorial Day
46,2017-05-30,Tuesday,11,164505.0,1358,nan
47,2017-05-31,Wednesday,11,128135.0,1358,nan
48,2017-06-01,Thursday,12,82910.0,1358,nan
49,2017-06-02,Friday,14,144210.0,593,nan
50,2017-06-03,Saturday,13,223340.0,593,nan
51,2017-06-04,Sunday,14,121915.0,593,nan
52,2017-06-05,Monday,13,66285.0,593,nan
53,2017-06-06,Tuesday,15,74270.0,593,nan
54,2017-06-07,Wednesday,13,63130.0,593,nan
55,2017-06-08,Thursday,14,53780.0,593,nan
56,2017-06-09,Friday,16,130265.0,389,nan
57,2017-06-10,Saturday,15,211465.0,389,nan
58,2017-06-11,Sunday,17,101040.0,389,nan
59,2017-06-12,Monday,16,52625.0,389,nan
60,2017-06-13,Tuesday,17,63765.0,389,nan
61,2017-06-14,Wednesday,17,51920.0,389,nan
62,2017-06-15,Thursday,16,49930.0,389,nan
63,2017-06-16,Friday,21,61720.0,189,nan
64,2017-06-17,Saturday,21,79960.0,189,nan
65,2017-06-18,Sunday,21,67325.0,189,nan
66,2017-06-19,Monday,21,31425.0,189,nan
67,2017-06-20,Tuesday,21,30680.0,189,nan
68,2017-06-21,Wednesday,22,26245.0,175,nan
69,2017-06-22,Thursday,23,29650.0,175,nan
70,2017-06-23,Friday,26,41400.0,159,nan
71,2017-06-24,Saturday,26,57570.0,159,nan
72,2017-06-25,Sunday,23,46005.0,159,nan
73,2017-06-26,Monday,24,22805.0,159,nan
74,2017-06-27,Tuesday,24,25285.0,159,nan
75,2017-06-28,Wednesday,24,22150.0,159,nan
76,2017-06-29,Thursday,22,22775.0,159,nan
77,2017-06-30,Friday,23,46620.0,144,nan
78,2017-07-01,Saturday,24,57255.0,144,nan
79,2017-07-02,Sunday,23,55950.0,144,nan
80,2017-07-03,Monday,22,43080.0,144,nan
81,2017-07-04,Tuesday,22,32925.0,144,Independence Day
82,2017-07-05,Wednesday,22,29775.0,144,nan
83,2017-07-06,Thursday,21,30865.0,144,nan
84,2017-07-07,Friday,23,31880.0,115,nan
85,2017-07-08,Saturday,22,48795.0,115,nan
86,2017-07-09,Sunday,23,29385.0,115,nan
87,2017-07-10,Monday,25,13910.0,115,nan
88,2017-07-11,Tuesday,24,17940.0,115,nan
89,2017-07-12,Wednesday,23,16245.0,115,nan
90,2017-07-13,Thursday,22,19270.0,115,nan
