,days,dow,rank,daily,theaters,special events
0,2015-07-10,Friday,1,46042205.0,4301,nan
1,2015-07-11,Saturday,1,38859535.0,4301,nan
2,2015-07-12,Sunday,1,30816665.0,4301,nan
3,2015-07-13,Monday,1,12946010.0,4301,nan
4,2015-07-14,Tuesday,1,16838415.0,4301,nan
5,2015-07-15,Wednesday,1,11505175.0,4301,nan
6,2015-07-16,Thursday,1,9483705.0,4301,nan
7,2015-07-17,Friday,2,14571180.0,4311,nan
8,2015-07-18,Saturday,1,20218590.0,4311,nan
9,2015-07-19,Sunday,2,14484960.0,4311,nan
10,2015-07-20,Monday,2,5777100.0,4311,nan
11,2015-07-21,Tuesday,1,8018460.0,4311,nan
12,2015-07-22,Wednesday,1,5173200.0,4311,nan
13,2015-07-23,Thursday,1,4785210.0,4311,nan
14,2015-07-24,Friday,3,6810550.0,4066,nan
15,2015-07-25,Saturday,2,9006190.0,4066,nan
16,2015-07-26,Sunday,2,7117220.0,4066,nan
17,2015-07-27,Monday,2,3090160.0,4066,nan
18,2015-07-28,Tuesday,2,4005280.0,4066,nan
19,2015-07-29,Wednesday,3,2820955.0,4066,nan
20,2015-07-30,Thursday,1,2820510.0,4066,nan
21,2015-07-31,Friday,4,3628625.0,3575,nan
22,2015-08-01,Saturday,4,4969250.0,3575,nan
23,2015-08-02,Sunday,4,3789500.0,3575,nan
24,2015-08-03,Monday,2,2001845.0,3575,nan
25,2015-08-04,Tuesday,2,2377375.0,3575,nan
26,2015-08-05,Wednesday,2,1751750.0,3575,nan
27,2015-08-06,Thursday,2,1644500.0,3575,nan
28,2015-08-07,Friday,7,2217030.0,3123,nan
29,2015-08-08,Saturday,6,2999220.0,3123,nan
30,2015-08-09,Sunday,6,2232770.0,3123,nan
31,2015-08-10,Monday,5,1108665.0,3123,nan
32,2015-08-11,Tuesday,3,1858185.0,3123,nan
33,2015-08-12,Wednesday,4,1061820.0,3123,nan
34,2015-08-13,Thursday,4,936900.0,3123,nan
35,2015-08-14,Friday,8,1438800.0,2640,nan
36,2015-08-15,Saturday,8,2151705.0,2640,nan
37,2015-08-16,Sunday,7,1557620.0,2640,nan
38,2015-08-17,Monday,6,738205.0,2640,nan
39,2015-08-18,Tuesday,5,1069645.0,2640,nan
40,2015-08-19,Wednesday,5,791990.0,2640,nan
41,2015-08-20,Thursday,5,738650.0,2640,nan
42,2015-08-21,Friday,10,1090740.0,2226,nan
43,2015-08-22,Saturday,10,1580460.0,2226,nan
44,2015-08-23,Sunday,8,1157520.0,2226,nan
45,2015-08-24,Monday,7,434070.0,2226,nan
46,2015-08-25,Tuesday,7,589890.0,2226,nan
47,2015-08-26,Wednesday,8,412525.0,2226,nan
48,2015-08-27,Thursday,10,360060.0,2226,nan
49,2015-08-28,Friday,13,671840.0,1976,nan
50,2015-08-29,Saturday,11,1323920.0,1976,nan
51,2015-08-30,Sunday,9,879320.0,1976,nan
