,days,dow,rank,daily,theaters,special events
0,2017-12-15,Friday,1,104684491.,4232,nan
1,2017-12-16,Saturday,1,63993205.0,4232,nan
2,2017-12-17,Sunday,1,51331888.0,4232,nan
3,2017-12-18,Monday,1,21556373.0,4232,nan
4,2017-12-19,Tuesday,1,20254189.0,4232,nan
5,2017-12-20,Wednesday,1,16889863.0,4232,nan
6,2017-12-21,Thursday,1,17892347.0,4232,nan
7,2017-12-22,Friday,1,24763084.0,4232,nan
8,2017-12-23,Saturday,1,29172415.0,4232,nan
9,2017-12-24,Sunday,1,17629999.0,4232,nan
10,2017-12-25,Monday,1,27459557.0,4232,Christmas Day
11,2017-12-26,Tuesday,1,27734356.0,4232,nan
12,2017-12-27,Wednesday,1,21846132.0,4232,nan
13,2017-12-28,Thursday,1,19490329.0,4232,nan
14,2017-12-29,Friday,1,19029250.0,4232,nan
15,2017-12-30,Saturday,1,19924241.0,4232,nan
16,2017-12-31,Sunday,1,13566649.0,4232,New Year's Eve
17,2018-01-01,Monday,2,14293461.0,4232,New Year's Day
18,2018-01-02,Tuesday,2,7876574.0,4232,nan
19,2018-01-03,Wednesday,2,5225332.0,4232,nan
20,2018-01-04,Thursday,2,4348867.0,4232,nan
21,2018-01-05,Friday,3,6523473.0,4232,nan
22,2018-01-06,Saturday,3,10398845.0,4232,nan
23,2018-01-07,Sunday,2,6806626.0,4232,nan
24,2018-01-08,Monday,2,1791497.0,4232,nan
25,2018-01-09,Tuesday,2,2368317.0,4232,nan
26,2018-01-10,Wednesday,2,1744275.0,4232,nan
27,2018-01-11,Thursday,2,1678949.0,4232,nan
28,2018-01-12,Friday,7,2670813.0,3090,nan
29,2018-01-13,Saturday,6,4990298.0,3090,nan
30,2018-01-14,Sunday,4,4193370.0,3090,nan
31,2018-01-15,Monday,5,2773240.0,3090,MLK Day
32,2018-01-16,Tuesday,5,1103853.0,3090,nan
33,2018-01-17,Wednesday,5,861084.0,3090,nan
34,2018-01-18,Thursday,6,851234.0,3090,nan
35,2018-01-19,Friday,9,1625633.0,2456,nan
36,2018-01-20,Saturday,7,3168473.0,2456,nan
37,2018-01-21,Sunday,7,1761329.0,2456,nan
38,2018-01-22,Monday,6,539120.0,2456,nan
39,2018-01-23,Tuesday,7,676890.0,2456,nan
40,2018-01-24,Wednesday,7,531967.0,2456,nan
41,2018-01-25,Thursday,6,519933.0,2456,nan
42,2018-01-26,Friday,13,954781.0,1745,nan
43,2018-01-27,Saturday,10,1933603.0,1745,nan
44,2018-01-28,Sunday,11,1365617.0,1745,nan
45,2018-01-29,Monday,11,322382.0,1745,nan
46,2018-01-30,Tuesday,13,385086.0,1745,nan
47,2018-01-31,Wednesday,13,306959.0,1745,nan
48,2018-02-01,Thursday,11,306531.0,1745,nan
49,2018-02-02,Friday,17,611248.0,1467,nan
50,2018-02-03,Saturday,13,1231261.0,1467,nan
51,2018-02-04,Sunday,14,495733.0,1467,nan
52,2018-02-05,Monday,13,234836.0,1467,nan
53,2018-02-06,Tuesday,14,279012.0,1467,nan
54,2018-02-07,Wednesday,14,233874.0,1467,nan
55,2018-02-08,Thursday,14,233535.0,1467,nan
56,2018-02-09,Friday,18,302407.0,830,PyeongChang Olympics
57,2018-02-10,Saturday,17,643888.0,830,PyeongChang Olympics
58,2018-02-11,Sunday,17,451118.0,830,PyeongChang Olympics
59,2018-02-12,Monday,16,142393.0,830,PyeongChang Olympics
60,2018-02-13,Tuesday,18,140623.0,830,PyeongChang Olympics
61,2018-02-14,Wednesday,18,202432.0,830,PyeongChang Olympics
62,2018-02-15,Thursday,17,103637.0,830,PyeongChang Olympics
63,2018-02-16,Friday,23,132463.0,351,PyeongChang Olympics
64,2018-02-17,Saturday,22,263352.0,351,PyeongChang Olympics
65,2018-02-18,Sunday,24,221883.0,351,PyeongChang Olympics
