,days,dow,rank,daily,theaters,special events
0,2019-03-08,Friday,1,61715051.0,4310,nan
1,2019-03-09,Saturday,1,52872536.0,4310,nan
2,2019-03-10,Sunday,1,38845836.0,4310,nan
3,2019-03-11,Monday,1,10986773.0,4310,nan
4,2019-03-12,Tuesday,1,14641119.0,4310,nan
5,2019-03-13,Wednesday,1,8586183.0,4310,nan
6,2019-03-14,Thursday,1,9248435.0,4310,nan
7,2019-03-15,Friday,1,19036521.0,4310,nan
8,2019-03-16,Saturday,1,29418618.0,4310,nan
9,2019-03-17,Sunday,1,19532991.0,4310,nan
10,2019-03-18,Monday,1,5195836.0,4310,nan
11,2019-03-19,Tuesday,1,7603865.0,4310,nan
12,2019-03-20,Wednesday,1,4567773.0,4310,nan
13,2019-03-21,Thursday,1,4226298.0,4310,nan
14,2019-03-22,Friday,2,9120858.0,4278,nan
15,2019-03-23,Saturday,2,15125497.0,4278,nan
16,2019-03-24,Sunday,2,10025438.0,4278,nan
17,2019-03-25,Monday,2,2896405.0,4278,nan
18,2019-03-26,Tuesday,2,4331261.0,4278,nan
19,2019-03-27,Wednesday,2,2809109.0,4278,nan
20,2019-03-28,Thursday,2,2519412.0,4278,nan
21,2019-03-29,Friday,3,5499784.0,3985,nan
22,2019-03-30,Saturday,3,9089329.0,3985,nan
23,2019-03-31,Sunday,3,6075151.0,3985,nan
24,2019-04-01,Monday,3,1658844.0,3985,nan
25,2019-04-02,Tuesday,3,2522851.0,3985,nan
26,2019-04-03,Wednesday,3,1719827.0,3985,nan
27,2019-04-04,Thursday,3,1579962.0,3985,nan
28,2019-04-05,Friday,5,3447080.0,3573,nan
29,2019-04-06,Saturday,5,5360651.0,3573,nan
30,2019-04-07,Sunday,4,3624072.0,3573,nan
31,2019-04-08,Monday,5,865424.0,3573,nan
32,2019-04-09,Tuesday,5,1382319.0,3573,nan
33,2019-04-10,Wednesday,5,896187.0,3573,nan
34,2019-04-11,Thursday,3,886285.0,3573,nan
35,2019-04-12,Friday,7,2214236.0,2975,nan
36,2019-04-13,Saturday,6,3865716.0,2975,nan
37,2019-04-14,Sunday,5,2531575.0,2975,nan
38,2019-04-15,Monday,5,884741.0,2975,nan
39,2019-04-16,Tuesday,5,1297834.0,2653,nan
40,2019-04-17,Wednesday,4,940412.0,2653,nan
41,2019-04-18,Thursday,3,1278038.0,2653,nan
42,2019-04-19,Friday,4,3185900.0,2653,nan
43,2019-04-20,Saturday,4,3650729.0,2653,nan
44,2019-04-21,Sunday,4,2268981.0,2653,Easter Sunday
45,2019-04-22,Monday,4,1349021.0,2653,nan
46,2019-04-23,Tuesday,4,1477687.0,2653,nan
47,2019-04-24,Wednesday,2,1402687.0,2653,nan
48,2019-04-25,Thursday,1,1267909.0,2653,nan
49,2019-04-26,Friday,2,2569646.0,2435,nan
50,2019-04-27,Saturday,2,3544694.0,2435,nan
51,2019-04-28,Sunday,3,2198411.0,2435,nan
52,2019-04-29,Monday,2,696976.0,2435,nan
53,2019-04-30,Tuesday,4,829625.0,2435,nan
54,2019-05-01,Wednesday,3,587159.0,2435,nan
55,2019-05-02,Thursday,2,536460.0,2435,nan
56,2019-05-03,Friday,5,1259315.0,2243,nan
57,2019-05-04,Saturday,5,1980908.0,2243,nan
58,2019-05-05,Sunday,7,1042021.0,2243,nan
59,2019-05-06,Monday,7,283419.0,2243,nan
60,2019-05-07,Tuesday,8,394134.0,2243,nan
61,2019-05-08,Wednesday,7,276734.0,2243,nan
62,2019-05-09,Thursday,7,235530.0,2243,nan
63,2019-05-10,Friday,11,485636.0,1504,nan
64,2019-05-11,Saturday,9,803493.0,1504,nan
65,2019-05-12,Sunday,11,557267.0,1504,nan
66,2019-05-13,Monday,12,152346.0,1504,nan
67,2019-05-14,Tuesday,11,195088.0,1504,nan
68,2019-05-15,Wednesday,11,143193.0,1504,nan
69,2019-05-16,Thursday,11,115417.0,1504,nan
70,2019-05-17,Friday,14,194708.0,726,nan
71,2019-05-18,Saturday,13,337241.0,726,nan
72,2019-05-19,Sunday,16,204049.0,726,nan
73,2019-05-20,Monday,15,77928.0,726,nan
74,2019-05-21,Tuesday,16,75258.0,726,nan
75,2019-05-22,Wednesday,15,64358.0,726,nan
76,2019-05-23,Thursday,15,52291.0,726,nan
77,2019-05-24,Friday,17,111805.0,300,nan
78,2019-05-25,Saturday,17,155805.0,300,nan
79,2019-05-26,Sunday,17,140669.0,300,nan
80,2019-05-27,Monday,19,86448.0,300,Memorial Day
81,2019-05-28,Tuesday,18,34748.0,300,nan
82,2019-05-29,Wednesday,18,28717.0,300,nan
83,2019-05-30,Thursday,17,30889.0,300,nan
84,2019-05-31,Friday,17,62905.0,162,nan
85,2019-06-01,Saturday,17,90376.0,162,nan
86,2019-06-02,Sunday,23,35585.0,162,nan
87,2019-06-03,Monday,22,17518.0,162,nan
88,2019-06-04,Tuesday,20,21185.0,162,nan
89,2019-06-05,Wednesday,21,19436.0,162,nan
90,2019-06-06,Thursday,23,15617.0,162,nan
91,2019-06-07,Friday,23,44487.0,175,nan
92,2019-06-08,Saturday,22,69695.0,175,nan
93,2019-06-09,Sunday,20,50291.0,175,nan
94,2019-06-10,Monday,20,20443.0,175,nan
95,2019-06-11,Tuesday,22,25676.0,175,nan
96,2019-06-12,Wednesday,22,20887.0,175,nan
97,2019-06-13,Thursday,21,20418.0,175,nan
98,2019-06-14,Friday,27,27954.0,161,nan
99,2019-06-15,Saturday,25,43586.0,161,nan
100,2019-06-16,Sunday,24,38507.0,161,nan
101,2019-06-17,Monday,26,12317.0,161,nan
102,2019-06-18,Tuesday,27,13848.0,161,nan
103,2019-06-19,Wednesday,27,12739.0,161,nan
104,2019-06-20,Thursday,27,14627.0,161,nan
105,2019-06-21,Friday,28,18019.0,145,nan
106,2019-06-22,Saturday,28,25008.0,145,nan
107,2019-06-23,Sunday,29,18047.0,145,nan
108,2019-06-24,Monday,29,7861.0,145,nan
109,2019-06-25,Tuesday,31,10135.0,145,nan
110,2019-06-26,Wednesday,30,8078.0,145,nan
111,2019-06-27,Thursday,30,9149.0,145,nan
112,2019-06-28,Friday,33,6979.0,84,nan
113,2019-06-29,Saturday,34,9825.0,84,nan
114,2019-06-30,Sunday,34,8012.0,84,nan
115,2019-07-01,Monday,31,5274.0,84,nan
116,2019-07-02,Tuesday,35,5043.0,84,nan
117,2019-07-03,Wednesday,37,4076.0,84,nan
118,2019-07-04,Thursday,38,4803.0,84,Independence Day
