,days,dow,rank,daily,theaters,special events
0,2017-03-17,Friday,1,63777443.0,4210,nan
1,2017-03-18,Saturday,1,62706808.0,4210,nan
2,2017-03-19,Sunday,1,48266365.0,4210,nan
3,2017-03-20,Monday,1,13531723.0,4210,nan
4,2017-03-21,Tuesday,1,17878785.0,4210,nan
5,2017-03-22,Wednesday,1,11538802.0,4210,nan
6,2017-03-23,Thursday,1,10905961.0,4210,nan
7,2017-03-24,Friday,1,23602097.0,4210,nan
8,2017-03-25,Saturday,1,38292423.0,4210,nan
9,2017-03-26,Sunday,1,28532197.0,4210,nan
10,2017-03-27,Monday,1,7061470.0,4210,nan
11,2017-03-28,Tuesday,1,9473259.0,4210,nan
12,2017-03-29,Wednesday,1,6295792.0,4210,nan
13,2017-03-30,Thursday,1,6053717.0,4210,nan
14,2017-03-31,Friday,2,12839851.0,4210,nan
15,2017-04-01,Saturday,2,19478151.0,4210,nan
16,2017-04-02,Sunday,2,13102741.0,4210,nan
17,2017-04-03,Monday,1,3167150.0,4210,nan
18,2017-04-04,Tuesday,1,4569209.0,4210,nan
19,2017-04-05,Wednesday,1,3053839.0,4210,nan
20,2017-04-06,Thursday,1,3166251.0,4210,nan
21,2017-04-07,Friday,2,6776393.0,3969,nan
22,2017-04-08,Saturday,2,10531285.0,3969,nan
23,2017-04-09,Sunday,2,6344927.0,3969,nan
24,2017-04-10,Monday,2,2036549.0,3969,nan
25,2017-04-11,Tuesday,2,2956005.0,3969,nan
26,2017-04-12,Wednesday,2,2365922.0,3969,nan
27,2017-04-13,Thursday,2,2710636.0,3969,nan
28,2017-04-14,Friday,3,5105688.0,3592,nan
29,2017-04-15,Saturday,3,5263719.0,3592,nan
30,2017-04-16,Sunday,3,3335715.0,3592,Easter Sunday
31,2017-04-17,Monday,3,2115043.0,3592,nan
32,2017-04-18,Tuesday,3,1697093.0,3592,nan
33,2017-04-19,Wednesday,3,1300191.0,3592,nan
34,2017-04-20,Thursday,3,1291184.0,3592,nan
35,2017-04-21,Friday,3,2627291.0,3315,nan
36,2017-04-22,Saturday,3,4380690.0,3315,nan
37,2017-04-23,Sunday,3,2654664.0,3315,nan
38,2017-04-24,Monday,2,634259.0,3315,nan
39,2017-04-25,Tuesday,3,954521.0,3315,nan
40,2017-04-26,Wednesday,2,662700.0,3315,nan
41,2017-04-27,Thursday,2,661724.0,3315,nan
42,2017-04-28,Friday,6,1678995.0,3155,nan
43,2017-04-29,Saturday,6,3102824.0,3155,nan
44,2017-04-30,Sunday,6,2043776.0,3155,nan
45,2017-05-01,Monday,5,483200.0,3155,nan
46,2017-05-02,Tuesday,5,699791.0,3155,nan
47,2017-05-03,Wednesday,5,474904.0,3155,nan
48,2017-05-04,Thursday,4,467892.0,3155,nan
49,2017-05-05,Friday,5,1333273.0,2680,nan
50,2017-05-06,Saturday,4,2423768.0,2680,nan
