,days,dow,rank,daily,theaters,special events
0,2018-11-16,Friday,1,25473261.0,4163,nan
1,2018-11-17,Saturday,1,21321824.0,4163,nan
2,2018-11-18,Sunday,1,15368019.0,4163,nan
3,2018-11-19,Monday,1,5074414.0,4163,nan
4,2018-11-20,Tuesday,1,6959720.0,4163,nan
5,2018-11-21,Wednesday,4,6789283.0,4163,nan
6,2018-11-22,Thursday,3,6192290.0,4163,Thanksgiving
7,2018-11-23,Friday,3,11604272.0,4163,nan
8,2018-11-24,Saturday,4,11281377.0,4163,nan
9,2018-11-25,Sunday,4,6489849.0,4163,nan
10,2018-11-26,Monday,3,1594100.0,4163,nan
11,2018-11-27,Tuesday,3,2234749.0,4163,nan
12,2018-11-28,Wednesday,3,1392362.0,4163,nan
13,2018-11-29,Thursday,3,1365886.0,4163,nan
14,2018-11-30,Friday,4,3077332.0,3851,nan
15,2018-12-01,Saturday,4,5020876.0,3851,nan
16,2018-12-02,Sunday,4,3263348.0,3851,nan
17,2018-12-03,Monday,4,828259.0,3851,nan
18,2018-12-04,Tuesday,4,1362122.0,3851,nan
19,2018-12-05,Wednesday,4,903248.0,3851,nan
20,2018-12-06,Thursday,4,805933.0,3851,nan
21,2018-12-07,Friday,4,1783921.0,3451,nan
22,2018-12-08,Saturday,4,3120787.0,3451,nan
23,2018-12-09,Sunday,4,2049138.0,3451,nan
24,2018-12-10,Monday,4,591474.0,3451,nan
25,2018-12-11,Tuesday,4,923392.0,3451,nan
26,2018-12-12,Wednesday,6,593524.0,3451,nan
27,2018-12-13,Thursday,5,538650.0,3451,nan
28,2018-12-14,Friday,9,1022480.0,2606,nan
29,2018-12-15,Saturday,10,1582248.0,2606,nan
30,2018-12-16,Sunday,8,1185111.0,2606,nan
31,2018-12-17,Monday,9,430155.0,2606,nan
32,2018-12-18,Tuesday,8,658296.0,2606,nan
33,2018-12-19,Wednesday,11,401263.0,2606,nan
34,2018-12-20,Thursday,10,309750.0,2606,nan
35,2018-12-21,Friday,17,242880.0,682,nan
36,2018-12-22,Saturday,17,335656.0,682,nan
37,2018-12-23,Sunday,17,322248.0,682,nan
38,2018-12-24,Monday,16,226170.0,682,nan
39,2018-12-25,Tuesday,21,247574.0,515,Christmas Day
40,2018-12-26,Wednesday,18,308190.0,515,nan
41,2018-12-27,Thursday,19,286569.0,515,nan
42,2018-12-28,Friday,18,328579.0,515,nan
43,2018-12-29,Saturday,19,347488.0,515,nan
44,2018-12-30,Sunday,19,311634.0,515,nan
45,2018-12-31,Monday,19,232158.0,515,New Year's Eve
46,2019-01-01,Tuesday,20,296067.0,515,New Year's Day
47,2019-01-02,Wednesday,19,179579.0,515,nan
48,2019-01-03,Thursday,19,151068.0,515,nan
49,2019-01-04,Friday,22,200158.0,401,nan
50,2019-01-05,Saturday,23,262992.0,401,nan
51,2019-01-06,Sunday,23,163069.0,401,nan
52,2019-01-07,Monday,23,52212.0,401,nan
53,2019-01-08,Tuesday,22,68032.0,401,nan
54,2019-01-09,Wednesday,23,46246.0,401,nan
55,2019-01-10,Thursday,23,37707.0,401,nan
56,2019-01-11,Friday,28,72304.0,275,nan
57,2019-01-12,Saturday,27,129224.0,275,nan
58,2019-01-13,Sunday,26,80186.0,275,nan
59,2019-01-14,Monday,26,23072.0,275,nan
60,2019-01-15,Tuesday,27,35843.0,275,nan
61,2019-01-16,Wednesday,26,23804.0,275,nan
62,2019-01-17,Thursday,30,17566.0,275,nan
63,2019-01-18,Friday,27,60864.0,288,nan
64,2019-01-19,Saturday,25,112581.0,288,nan
65,2019-01-20,Sunday,25,79012.0,288,nan
66,2019-01-21,Monday,24,66663.0,288,MLK Day
67,2019-01-22,Tuesday,29,23456.0,288,nan
68,2019-01-23,Wednesday,27,19481.0,288,nan
69,2019-01-24,Thursday,27,22064.0,288,nan
70,2019-01-25,Friday,29,37900.0,212,nan
71,2019-01-26,Saturday,30,76183.0,212,nan
72,2019-01-27,Sunday,30,46486.0,212,nan
73,2019-01-28,Monday,33,11355.0,212,nan
74,2019-01-29,Tuesday,33,13876.0,212,nan
75,2019-01-30,Wednesday,32,10826.0,212,nan
76,2019-01-31,Thursday,32,13353.0,212,nan
77,2019-02-01,Friday,31,27088.0,189,nan
78,2019-02-02,Saturday,30,57670.0,189,nan
79,2019-02-03,Sunday,32,24214.0,189,nan
80,2019-02-04,Monday,31,8257.0,189,nan
81,2019-02-05,Tuesday,32,11498.0,189,nan
82,2019-02-06,Wednesday,33,9530.0,189,nan
83,2019-02-07,Thursday,33,9286.0,189,nan
84,2019-02-08,Friday,38,16712.0,149,nan
85,2019-02-09,Saturday,36,35546.0,149,nan
86,2019-02-10,Sunday,39,22644.0,149,nan
87,2019-02-11,Monday,37,5833.0,149,nan
88,2019-02-12,Tuesday,37,5686.0,149,nan
89,2019-02-13,Wednesday,42,5146.0,149,nan
90,2019-02-14,Thursday,36,11861.0,149,nan
91,2019-02-15,Friday,37,12364.0,104,nan
92,2019-02-16,Saturday,37,24495.0,104,nan
93,2019-02-17,Sunday,38,19967.0,104,nan
94,2019-02-18,Monday,40,16356.0,104,Presidents' Day
95,2019-02-19,Tuesday,39,5909.0,104,nan
96,2019-02-20,Wednesday,39,5220.0,104,nan
97,2019-02-21,Thursday,37,5531.0,104,nan
