,days,dow,rank,daily,theaters,special events
0,2020-01-17,Friday,1,23601382.0,3775,nan
1,2020-01-18,Saturday,1,21716950.0,3775,nan
2,2020-01-19,Sunday,1,17185773.0,3775,nan
3,2020-01-20,Monday,1,10529839.0,3775,MLK Day
4,2020-01-21,Tuesday,1,6425896.0,3775,nan
5,2020-01-22,Wednesday,1,3673413.0,3775,nan
6,2020-01-23,Thursday,1,3510912.0,3775,nan
7,2020-01-24,Friday,1,8987723.0,3775,nan
8,2020-01-25,Saturday,1,15453880.0,3775,nan
9,2020-01-26,Sunday,1,9570111.0,3775,nan
10,2020-01-27,Monday,1,2227287.0,3775,nan
11,2020-01-28,Tuesday,1,3546220.0,3775,nan
12,2020-01-29,Wednesday,1,1978354.0,3775,nan
13,2020-01-30,Thursday,1,1968791.0,3775,nan
14,2020-01-31,Friday,1,5185357.0,3705,nan
15,2020-02-01,Saturday,1,9674093.0,3705,nan
16,2020-02-02,Sunday,1,2823509.0,3705,nan
17,2020-02-03,Monday,1,1507928.0,3705,nan
18,2020-02-04,Tuesday,1,2284757.0,3705,nan
19,2020-02-05,Wednesday,1,1330990.0,3705,nan
20,2020-02-06,Thursday,1,1139042.0,3705,nan
21,2020-02-07,Friday,2,3020395.0,3530,nan
22,2020-02-08,Saturday,2,5548803.0,3530,nan
23,2020-02-09,Sunday,2,3442157.0,3530,nan
24,2020-02-10,Monday,3,808528.0,3530,nan
25,2020-02-11,Tuesday,2,1263733.0,3530,nan
26,2020-02-12,Wednesday,2,775133.0,3530,nan
27,2020-02-13,Thursday,2,841350.0,3530,nan
28,2020-02-14,Friday,5,4091879.0,3185,nan
29,2020-02-15,Saturday,3,4372554.0,3185,nan
30,2020-02-16,Sunday,3,3066471.0,3185,nan
31,2020-02-17,Monday,3,1570893.0,3185,Presidents' Day
32,2020-02-18,Tuesday,4,953568.0,3185,nan
33,2020-02-19,Wednesday,3,620163.0,3185,nan
34,2020-02-20,Thursday,3,617811.0,3185,nan
35,2020-02-21,Friday,5,1577504.0,2972,nan
36,2020-02-22,Saturday,4,2658357.0,2972,nan
37,2020-02-23,Sunday,4,1608117.0,2972,nan
38,2020-02-24,Monday,4,435723.0,2972,nan
39,2020-02-25,Tuesday,4,656599.0,2972,nan
40,2020-02-26,Wednesday,5,415744.0,2972,nan
41,2020-02-27,Thursday,5,400696.0,2972,nan
42,2020-02-28,Friday,5,1098634.0,2972,nan
43,2020-02-29,Saturday,5,2025804.0,2972,nan
44,2020-03-01,Sunday,5,1225696.0,2972,nan
45,2020-03-02,Monday,5,348106.0,2972,nan
46,2020-03-03,Tuesday,6,519837.0,2972,nan
47,2020-03-04,Wednesday,5,349716.0,2972,nan
48,2020-03-05,Thursday,4,341925.0,2972,nan
49,2020-03-06,Friday,7,791594.0,2159,nan
50,2020-03-07,Saturday,7,1416185.0,2159,nan
51,2020-03-08,Sunday,7,814308.0,2159,nan
52,2020-03-09,Monday,7,287497.0,2159,nan
53,2020-03-10,Tuesday,7,418346.0,2159,nan
54,2020-03-11,Wednesday,7,278534.0,2159,nan
55,2020-03-12,Thursday,7,207834.0,2159,COVID-19 Pandemic
56,2020-03-13,Friday,10,306957.0,1451,COVID-19 Pandemic
57,2020-03-14,Saturday,10,493481.0,1451,COVID-19 Pandemic
58,2020-03-15,Sunday,9,301770.0,1451,COVID-19 Pandemic
59,2020-03-16,Monday,10,85462.0,1451,COVID-19 Pandemic
60,2020-03-17,Tuesday,10,25606.0,1451,COVID-19 Pandemic
61,2020-03-18,Wednesday,9,6487.0,1451,COVID-19 Pandemic
62,2020-03-19,Thursday,9,5691.0,1451,COVID-19 Pandemic
