,days,dow,rank,daily,theaters,special events
0,2019-10-04,Friday,1,39350693.0,4374,nan
1,2019-10-05,Saturday,1,32476803.0,4374,nan
2,2019-10-06,Sunday,1,24374841.0,4374,nan
3,2019-10-07,Monday,1,9702049.0,4374,nan
4,2019-10-08,Tuesday,1,13908626.0,4374,nan
5,2019-10-09,Wednesday,1,9611712.0,4374,nan
6,2019-10-10,Thursday,1,8304063.0,4374,nan
7,2019-10-11,Friday,1,16906386.0,4374,nan
8,2019-10-12,Saturday,1,22137778.0,4374,nan
9,2019-10-13,Sunday,1,16817239.0,4374,nan
10,2019-10-14,Monday,1,8345763.0,4374,Indig. Peoples' Day
11,2019-10-15,Tuesday,1,6973525.0,4374,nan
12,2019-10-16,Wednesday,1,4910895.0,4374,nan
13,2019-10-17,Thursday,1,4203631.0,4374,nan
14,2019-10-18,Friday,3,8584376.0,4090,nan
15,2019-10-19,Saturday,2,12441546.0,4090,nan
16,2019-10-20,Sunday,2,8225918.0,4090,nan
17,2019-10-21,Monday,1,2742836.0,4090,nan
18,2019-10-22,Tuesday,2,3801598.0,4090,nan
19,2019-10-23,Wednesday,1,2450143.0,4090,nan
20,2019-10-24,Thursday,1,2413101.0,4090,nan
21,2019-10-25,Friday,1,5500308.0,3936,nan
22,2019-10-26,Saturday,2,8186141.0,3936,nan
23,2019-10-27,Sunday,2,5561586.0,3936,nan
24,2019-10-28,Monday,1,1768872.0,3936,nan
25,2019-10-29,Tuesday,1,2468414.0,3936,nan
26,2019-10-30,Wednesday,1,1631209.0,3936,nan
27,2019-10-31,Thursday,1,1886940.0,3936,Halloween
28,2019-11-01,Friday,3,3810641.0,3519,nan
29,2019-11-02,Saturday,2,5966867.0,3519,nan
30,2019-11-03,Sunday,3,3722608.0,3519,nan
31,2019-11-04,Monday,2,1159782.0,3519,nan
32,2019-11-05,Tuesday,3,1751588.0,3519,nan
33,2019-11-06,Wednesday,2,1103216.0,3519,nan
34,2019-11-07,Thursday,2,1089813.0,3519,nan
35,2019-11-08,Friday,6,2527562.0,2806,nan
36,2019-11-09,Saturday,6,3931139.0,2806,nan
37,2019-11-10,Sunday,7,2762602.0,2806,nan
38,2019-11-11,Monday,7,1318512.0,2806,nan
39,2019-11-12,Tuesday,7,904313.0,2806,nan
40,2019-11-13,Wednesday,5,626545.0,2806,nan
41,2019-11-14,Thursday,5,602413.0,2806,nan
42,2019-11-15,Friday,8,1482802.0,2337,nan
43,2019-11-16,Saturday,7,2483771.0,2337,nan
44,2019-11-17,Sunday,9,1371816.0,2337,nan
45,2019-11-18,Monday,7,426673.0,2337,nan
46,2019-11-19,Tuesday,9,609986.0,2337,nan
47,2019-11-20,Wednesday,8,443301.0,2337,nan
48,2019-11-21,Thursday,8,328871.0,2337,nan
