,days,dow,rank,daily,theaters,special events
0,2019-11-22,Friday,1,42205262.0,4440,nan
1,2019-11-23,Saturday,1,50041031.0,4440,nan
2,2019-11-24,Sunday,1,38017065.0,4440,nan
3,2019-11-25,Monday,1,12771012.0,4440,nan
4,2019-11-26,Tuesday,1,20791974.0,4440,nan
5,2019-11-27,Wednesday,1,24080546.0,4440,nan
6,2019-11-28,Thursday,1,14960468.0,4440,Thanksgiving
7,2019-11-29,Friday,1,34130914.0,4440,nan
8,2019-11-30,Saturday,1,32363967.0,4440,nan
9,2019-12-01,Sunday,1,19482892.0,4440,nan
10,2019-12-02,Monday,1,3187895.0,4440,nan
11,2019-12-03,Tuesday,1,5336770.0,4440,nan
12,2019-12-04,Wednesday,1,2824699.0,4440,nan
13,2019-12-05,Thursday,1,2730406.0,4440,nan
14,2019-12-06,Friday,1,7816954.0,4348,nan
15,2019-12-07,Saturday,1,16050532.0,4348,nan
16,2019-12-08,Sunday,1,11298128.0,4348,nan
17,2019-12-09,Monday,1,1890910.0,4348,nan
18,2019-12-10,Tuesday,1,3585256.0,4348,nan
19,2019-12-11,Wednesday,1,2034899.0,4348,nan
20,2019-12-12,Thursday,1,1758492.0,4348,nan
21,2019-12-13,Friday,2,4338288.0,4078,nan
22,2019-12-14,Saturday,2,8710973.0,4078,nan
23,2019-12-15,Sunday,2,6023687.0,4078,nan
24,2019-12-16,Monday,2,1500004.0,4078,nan
25,2019-12-17,Tuesday,2,2667413.0,4078,nan
26,2019-12-18,Wednesday,2,1729811.0,4078,nan
27,2019-12-19,Thursday,2,1903713.0,4078,nan
28,2019-12-20,Friday,3,3345875.0,3665,nan
29,2019-12-21,Saturday,3,4904478.0,3665,nan
30,2019-12-22,Sunday,3,4730574.0,3665,nan
31,2019-12-23,Monday,3,4432482.0,3665,nan
32,2019-12-24,Tuesday,3,3455002.0,3665,nan
33,2019-12-25,Wednesday,6,4146662.0,3265,Christmas Day
34,2019-12-26,Thursday,4,5541855.0,3265,nan
35,2019-12-27,Friday,3,5930952.0,3265,nan
36,2019-12-28,Saturday,3,5804369.0,3265,nan
37,2019-12-29,Sunday,4,5156652.0,3265,nan
38,2019-12-30,Monday,3,4422077.0,3265,nan
39,2019-12-31,Tuesday,4,4039743.0,3265,New Year's Eve
40,2020-01-01,Wednesday,4,5029104.0,3265,New Year's Day
41,2020-01-02,Thursday,4,3411578.0,3265,nan
42,2020-01-03,Friday,5,3965830.0,3175,nan
43,2020-01-04,Saturday,4,4787509.0,3175,nan
44,2020-01-05,Sunday,4,3100830.0,3175,nan
45,2020-01-06,Monday,4,975665.0,3175,nan
46,2020-01-07,Tuesday,6,1068215.0,3175,nan
47,2020-01-08,Wednesday,7,593489.0,3175,nan
48,2020-01-09,Thursday,6,546140.0,3175,nan
49,2020-01-10,Friday,9,1226058.0,3175,nan
50,2020-01-11,Saturday,7,2773487.0,3175,nan
51,2020-01-12,Sunday,7,1910605.0,3175,nan
52,2020-01-13,Monday,10,333913.0,3175,nan
53,2020-01-14,Tuesday,9,598519.0,3175,nan
54,2020-01-15,Wednesday,11,357813.0,3175,nan
55,2020-01-16,Thursday,10,328253.0,3175,nan
56,2020-01-17,Friday,11,733692.0,2080,nan
57,2020-01-18,Saturday,9,1645773.0,2080,nan
58,2020-01-19,Sunday,8,1433193.0,2080,nan
59,2020-01-20,Monday,8,1512418.0,2080,MLK Day
60,2020-01-21,Tuesday,11,373808.0,2080,nan
61,2020-01-22,Wednesday,12,215674.0,2080,nan
62,2020-01-23,Thursday,13,197320.0,2080,nan
63,2020-01-24,Friday,12,483942.0,1750,nan
64,2020-01-25,Saturday,11,1273565.0,1750,nan
65,2020-01-26,Sunday,11,890692.0,1750,nan
66,2020-01-27,Monday,12,177965.0,1750,nan
67,2020-01-28,Tuesday,12,236634.0,1750,nan
68,2020-01-29,Wednesday,13,161219.0,1750,nan
69,2020-01-30,Thursday,13,149785.0,1750,nan
70,2020-01-31,Friday,15,375898.0,1392,nan
71,2020-02-01,Saturday,13,950846.0,1392,nan
72,2020-02-02,Sunday,10,458650.0,1392,nan
73,2020-02-03,Monday,15,114836.0,1392,nan
74,2020-02-04,Tuesday,15,169442.0,1392,nan
75,2020-02-05,Wednesday,15,112917.0,1392,nan
76,2020-02-06,Thursday,15,113715.0,1392,nan
77,2020-02-07,Friday,16,243993.0,1131,nan
78,2020-02-08,Saturday,15,666068.0,1131,nan
79,2020-02-09,Sunday,11,467390.0,1131,nan
80,2020-02-10,Monday,16,92986.0,1131,nan
81,2020-02-11,Tuesday,16,123120.0,1131,nan
82,2020-02-12,Wednesday,17,76251.0,1131,nan
83,2020-02-13,Thursday,14,84221.0,1131,nan
84,2020-02-14,Friday,19,212813.0,716,nan
85,2020-02-15,Saturday,17,346488.0,716,nan
86,2020-02-16,Sunday,17,288414.0,716,nan
87,2020-02-17,Monday,15,309850.0,716,Presidents' Day
88,2020-02-18,Tuesday,18,96322.0,716,nan
89,2020-02-19,Wednesday,17,69404.0,716,nan
90,2020-02-20,Thursday,19,65359.0,716,nan
91,2020-02-21,Friday,22,112404.0,424,nan
92,2020-02-22,Saturday,21,230727.0,424,nan
93,2020-02-23,Sunday,21,156941.0,424,nan
94,2020-02-24,Monday,24,30731.0,424,nan
95,2020-02-25,Tuesday,24,38175.0,424,nan
96,2020-02-26,Wednesday,25,28007.0,424,nan
97,2020-02-27,Thursday,24,31369.0,424,nan
98,2020-02-28,Friday,25,66027.0,344,nan
99,2020-02-29,Saturday,22,149876.0,344,nan
100,2020-03-01,Sunday,22,100045.0,344,nan
101,2020-03-02,Monday,24,24911.0,344,nan
102,2020-03-03,Tuesday,25,32536.0,344,nan
103,2020-03-04,Wednesday,25,25820.0,344,nan
104,2020-03-05,Thursday,24,24458.0,344,nan
105,2020-03-06,Friday,25,31655.0,229,nan
106,2020-03-07,Saturday,25,68858.0,229,nan
107,2020-03-08,Sunday,25,43715.0,229,nan
108,2020-03-09,Monday,26,12384.0,229,nan
109,2020-03-10,Tuesday,26,15934.0,229,nan
110,2020-03-11,Wednesday,26,13377.0,229,nan
111,2020-03-12,Thursday,26,11831.0,229,COVID-19 Pandemic
112,2020-03-13,Friday,31,12668.0,165,COVID-19 Pandemic
113,2020-03-14,Saturday,29,18916.0,165,COVID-19 Pandemic
114,2020-03-15,Sunday,30,11100.0,165,COVID-19 Pandemic
115,2020-03-16,Monday,30,3072.0,165,COVID-19 Pandemic
116,2020-03-17,Tuesday,21,1418.0,165,COVID-19 Pandemic
117,2020-03-18,Wednesday,23,153.0,165,COVID-19 Pandemic
118,2020-03-19,Thursday,24,117.0,165,COVID-19 Pandemic
