,days,dow,rank,daily,theaters,special events
0,2018-06-22,Friday,1,58566870.0,4475,World Cup (Russia)
1,2018-06-23,Saturday,1,49701695.0,4475,World Cup (Russia)
2,2018-06-24,Sunday,1,39756045.0,4475,World Cup (Russia)
3,2018-06-25,Monday,1,14725880.0,4475,World Cup (Russia)
4,2018-06-26,Tuesday,1,18390180.0,4475,World Cup (Russia)
5,2018-06-27,Wednesday,1,12271855.0,4475,World Cup (Russia)
6,2018-06-28,Thursday,1,11374810.0,4475,World Cup (Russia)
7,2018-06-29,Friday,1,17374160.0,4485,World Cup (Russia)
8,2018-06-30,Saturday,1,23831155.0,4485,World Cup (Russia)
9,2018-07-01,Sunday,1,19706880.0,4485,World Cup (Russia)
10,2018-07-02,Monday,1,8580225.0,4485,World Cup (Russia)
11,2018-07-03,Tuesday,1,11891170.0,4485,World Cup (Russia)
12,2018-07-04,Wednesday,1,11501395.0,4485,Independence Day-World Cup (Russia)
13,2018-07-05,Thursday,2,7085345.0,4485,World Cup (Russia)
14,2018-07-06,Friday,3,9173610.0,4349,World Cup (Russia)
15,2018-07-07,Saturday,2,11024365.0,4349,World Cup (Russia)
16,2018-07-08,Sunday,2,8434400.0,4349,World Cup (Russia)
17,2018-07-09,Monday,3,3361050.0,4349,World Cup (Russia)
18,2018-07-10,Tuesday,3,4921340.0,4349,World Cup (Russia)
19,2018-07-11,Wednesday,3,3241425.0,4349,World Cup (Russia)
20,2018-07-12,Thursday,3,2868360.0,4349,World Cup (Russia)
21,2018-07-13,Friday,5,4640445.0,3695,World Cup (Russia)
22,2018-07-14,Saturday,4,6642960.0,3695,World Cup (Russia)
23,2018-07-15,Sunday,5,4916025.0,3695,World Cup (Russia)
24,2018-07-16,Monday,5,2062420.0,3695,nan
25,2018-07-17,Tuesday,5,2986000.0,3695,nan
26,2018-07-18,Wednesday,5,2010810.0,3695,nan
27,2018-07-19,Thursday,5,1860630.0,3695,nan
28,2018-07-20,Friday,7,3052630.0,3381,nan
29,2018-07-21,Saturday,6,4590495.0,3381,nan
30,2018-07-22,Sunday,6,3620295.0,3381,nan
31,2018-07-23,Monday,6,1558275.0,3381,nan
32,2018-07-24,Tuesday,7,2104030.0,3381,nan
33,2018-07-25,Wednesday,6,1598420.0,3381,nan
34,2018-07-26,Thursday,6,1352850.0,3381,nan
35,2018-07-27,Friday,8,1956140.0,2685,nan
36,2018-07-28,Saturday,8,2738970.0,2685,nan
37,2018-07-29,Sunday,8,2034625.0,2685,nan
38,2018-07-30,Monday,8,930910.0,2685,nan
39,2018-07-31,Tuesday,8,1324985.0,2685,nan
40,2018-08-01,Wednesday,8,1024875.0,2685,nan
41,2018-08-02,Thursday,8,819070.0,2685,nan
42,2018-08-03,Friday,11,1118705.0,1914,nan
43,2018-08-04,Saturday,11,1652935.0,1914,nan
44,2018-08-05,Sunday,11,1185095.0,1914,nan
45,2018-08-06,Monday,11,581270.0,1914,nan
46,2018-08-07,Tuesday,11,710865.0,1914,nan
47,2018-08-08,Wednesday,13,465235.0,1914,nan
48,2018-08-09,Thursday,13,347765.0,1914,nan
49,2018-08-10,Friday,14,541940.0,1237,nan
50,2018-08-11,Saturday,14,852420.0,1237,nan
51,2018-08-12,Sunday,15,592170.0,1237,nan
52,2018-08-13,Monday,17,242565.0,1237,nan
53,2018-08-14,Tuesday,15,340870.0,1237,nan
54,2018-08-15,Wednesday,15,191375.0,1237,nan
55,2018-08-16,Thursday,15,166080.0,1237,nan
56,2018-08-17,Friday,15,307035.0,814,nan
57,2018-08-18,Saturday,15,521020.0,814,nan
58,2018-08-19,Sunday,15,329325.0,814,nan
59,2018-08-20,Monday,18,118760.0,814,nan
60,2018-08-21,Tuesday,17,174945.0,814,nan
61,2018-08-22,Wednesday,18,123200.0,814,nan
62,2018-08-23,Thursday,16,97045.0,814,nan
63,2018-08-24,Friday,19,193525.0,608,nan
64,2018-08-25,Saturday,18,344240.0,608,nan
