,days,dow,rank,daily,theaters,special events
0,2017-06-02,Friday,1,38247254.0,4165,nan
1,2017-06-03,Saturday,1,35253398.0,4165,nan
2,2017-06-04,Sunday,1,29750819.0,4165,nan
3,2017-06-05,Monday,1,11757063.0,4165,nan
4,2017-06-06,Tuesday,1,14342175.0,4165,nan
5,2017-06-07,Wednesday,1,9326011.0,4165,nan
6,2017-06-08,Thursday,1,9145783.0,4165,nan
7,2017-06-09,Friday,1,15701461.0,4165,nan
8,2017-06-10,Saturday,1,24003287.0,4165,nan
9,2017-06-11,Sunday,1,18815924.0,4165,nan
10,2017-06-12,Monday,1,6266071.0,4165,nan
11,2017-06-13,Tuesday,1,8851388.0,4165,nan
12,2017-06-14,Wednesday,1,6344618.0,4165,nan
13,2017-06-15,Thursday,1,6021478.0,4165,nan
14,2017-06-16,Friday,3,10845317.0,4018,nan
15,2017-06-17,Saturday,2,15577690.0,4018,nan
16,2017-06-18,Sunday,2,14845843.0,4018,nan
17,2017-06-19,Monday,2,4808414.0,4018,nan
18,2017-06-20,Tuesday,2,5444169.0,4018,nan
19,2017-06-21,Wednesday,3,3848683.0,4018,nan
20,2017-06-22,Thursday,3,4008312.0,4018,nan
21,2017-06-23,Friday,3,7396325.0,3933,nan
22,2017-06-24,Saturday,2,10046428.0,3933,nan
23,2017-06-25,Sunday,2,7463557.0,3933,nan
24,2017-06-26,Monday,2,3067190.0,3933,nan
25,2017-06-27,Tuesday,3,3905172.0,3933,nan
26,2017-06-28,Wednesday,4,2764377.0,3933,nan
27,2017-06-29,Thursday,3,2681268.0,3933,nan
28,2017-06-30,Friday,4,4382471.0,3404,nan
29,2017-07-01,Saturday,4,6066112.0,3404,nan
30,2017-07-02,Sunday,4,5257428.0,3404,nan
31,2017-07-03,Monday,3,4302245.0,3404,nan
32,2017-07-04,Tuesday,3,4064569.0,3404,Independence Day
33,2017-07-05,Wednesday,3,2072633.0,3404,nan
34,2017-07-06,Thursday,3,1976258.0,3404,nan
35,2017-07-07,Friday,4,2994237.0,3091,nan
36,2017-07-08,Saturday,4,4044218.0,3091,nan
37,2017-07-09,Sunday,4,2783650.0,3091,nan
38,2017-07-10,Monday,4,1184238.0,3091,nan
39,2017-07-11,Tuesday,4,1640127.0,3091,nan
40,2017-07-12,Wednesday,4,1255188.0,3091,nan
41,2017-07-13,Thursday,4,1248229.0,3091,nan
42,2017-07-14,Friday,7,2035125.0,2744,nan
43,2017-07-15,Saturday,6,2811119.0,2744,nan
44,2017-07-16,Sunday,6,1956142.0,2744,nan
45,2017-07-17,Monday,5,875213.0,2744,nan
46,2017-07-18,Tuesday,5,1195276.0,2744,nan
47,2017-07-19,Wednesday,5,902887.0,2744,nan
48,2017-07-20,Thursday,5,826439.0,2744,nan
49,2017-07-21,Friday,9,1268040.0,1971,nan
50,2017-07-22,Saturday,9,1912543.0,1971,nan
51,2017-07-23,Sunday,8,1427445.0,1971,nan
52,2017-07-24,Monday,8,730589.0,1971,nan
53,2017-07-25,Tuesday,8,866477.0,1971,nan
54,2017-07-26,Wednesday,8,645812.0,1971,nan
55,2017-07-27,Thursday,8,649521.0,1971,nan
56,2017-07-28,Friday,10,981521.0,1651,nan
57,2017-07-29,Saturday,11,1463425.0,1651,nan
58,2017-07-30,Sunday,10,895721.0,1651,nan
59,2017-07-31,Monday,10,430419.0,1651,nan
60,2017-08-01,Tuesday,10,568987.0,1651,nan
61,2017-08-02,Wednesday,10,462281.0,1651,nan
62,2017-08-03,Thursday,10,440019.0,1651,nan
63,2017-08-04,Friday,13,679524.0,1307,nan
64,2017-08-05,Saturday,14,965428.0,1307,nan
65,2017-08-06,Sunday,13,641382.0,1307,nan
66,2017-08-07,Monday,12,395862.0,1307,nan
67,2017-08-08,Tuesday,13,386161.0,1307,nan
68,2017-08-09,Wednesday,13,273582.0,1307,nan
69,2017-08-10,Thursday,12,240067.0,1307,nan
70,2017-08-11,Friday,15,411121.0,961,nan
71,2017-08-12,Saturday,15,653589.0,961,nan
72,2017-08-13,Sunday,15,382765.0,961,nan
73,2017-08-14,Monday,15,174727.0,961,nan
74,2017-08-15,Tuesday,15,244282.0,961,nan
75,2017-08-16,Wednesday,16,171440.0,961,nan
76,2017-08-17,Thursday,16,142367.0,961,nan
77,2017-08-18,Friday,16,330648.0,803,nan
78,2017-08-19,Saturday,16,476228.0,803,nan
79,2017-08-20,Sunday,16,285462.0,803,nan
80,2017-08-21,Monday,16,124345.0,803,nan
81,2017-08-22,Tuesday,16,163728.0,803,nan
82,2017-08-23,Wednesday,16,116836.0,803,nan
83,2017-08-24,Thursday,16,112438.0,803,nan
84,2017-08-25,Friday,14,486866.0,2210,nan
85,2017-08-26,Saturday,14,727686.0,2210,nan
86,2017-08-27,Sunday,14,460649.0,2210,nan
87,2017-08-28,Monday,14,188334.0,2210,nan
88,2017-08-29,Tuesday,14,276655.0,2210,nan
89,2017-08-30,Wednesday,14,180624.0,2210,nan
90,2017-08-31,Thursday,15,180146.0,2210,nan
91,2017-09-01,Friday,12,450537.0,1838,nan
92,2017-09-02,Saturday,12,787688.0,1838,nan
93,2017-09-03,Sunday,12,800126.0,1838,nan
94,2017-09-04,Monday,14,479667.0,1808,Labor Day
95,2017-09-05,Tuesday,15,136004.0,1808,nan
96,2017-09-06,Wednesday,14,96091.0,1808,nan
97,2017-09-07,Thursday,14,72008.0,1808,nan
98,2017-09-08,Friday,13,185207.0,961,nan
99,2017-09-09,Saturday,14,320171.0,961,nan
100,2017-09-10,Sunday,16,155064.0,961,nan
101,2017-09-11,Monday,11,55317.0,961,nan
102,2017-09-12,Tuesday,16,80023.0,961,nan
103,2017-09-13,Wednesday,14,64388.0,961,nan
104,2017-09-14,Thursday,13,60988.0,961,nan
105,2017-09-15,Friday,14,180268.0,659,nan
106,2017-09-16,Saturday,16,310277.0,659,nan
107,2017-09-17,Sunday,14,177249.0,659,nan
108,2017-09-18,Monday,14,55497.0,659,nan
109,2017-09-19,Tuesday,16,63289.0,659,nan
110,2017-09-20,Wednesday,15,51127.0,659,nan
111,2017-09-21,Thursday,14,52204.0,659,nan
112,2017-09-22,Friday,18,97472.0,355,nan
113,2017-09-23,Saturday,19,160800.0,355,nan
114,2017-09-24,Sunday,19,80007.0,355,nan
115,2017-09-25,Monday,21,20202.0,355,nan
116,2017-09-26,Tuesday,20,28117.0,355,nan
117,2017-09-27,Wednesday,21,20411.0,355,nan
118,2017-09-28,Thursday,19,21227.0,355,nan
119,2017-09-29,Friday,24,51757.0,261,nan
120,2017-09-30,Saturday,25,87133.0,261,nan
121,2017-10-01,Sunday,25,46306.0,261,nan
122,2017-10-02,Monday,27,10655.0,261,nan
123,2017-10-03,Tuesday,26,14008.0,261,nan
124,2017-10-04,Wednesday,30,10926.0,261,nan
125,2017-10-05,Thursday,27,12711.0,261,nan
126,2017-10-06,Friday,30,22433.0,155,nan
127,2017-10-07,Saturday,30,38637.0,155,nan
128,2017-10-08,Sunday,31,25612.0,155,nan
129,2017-10-09,Monday,30,11906.0,155,Indig. Peoples' Day
130,2017-10-10,Tuesday,29,9217.0,155,nan
131,2017-10-11,Wednesday,31,7914.0,155,nan
132,2017-10-12,Thursday,31,9003.0,155,nan
133,2017-10-13,Friday,36,13752.0,118,nan
134,2017-10-14,Saturday,36,21869.0,118,nan
135,2017-10-15,Sunday,36,11980.0,118,nan
136,2017-10-16,Monday,38,3511.0,118,nan
137,2017-10-17,Tuesday,38,4098.0,118,nan
138,2017-10-18,Wednesday,38,3565.0,118,nan
139,2017-10-19,Thursday,37,4302.0,118,nan
140,2017-10-20,Friday,46,6627.0,84,nan
141,2017-10-21,Saturday,45,9700.0,84,nan
142,2017-10-22,Sunday,43,7058.0,84,nan
143,2017-10-23,Monday,46,2289.0,84,nan
144,2017-10-24,Tuesday,48,2394.0,84,nan
145,2017-10-25,Wednesday,48,1961.0,84,nan
146,2017-10-26,Thursday,49,2308.0,84,nan
147,2017-10-27,Friday,50,3051.0,55,nan
148,2017-10-28,Saturday,49,5144.0,55,nan
149,2017-10-29,Sunday,46,3968.0,55,nan
150,2017-10-30,Monday,52,802.0,55,nan
151,2017-10-31,Tuesday,49,1580.0,55,Halloween
152,2017-11-01,Wednesday,53,964.0,55,nan
153,2017-11-02,Thursday,53,1354.0,55,nan
154,2017-11-03,Friday,51,2247.0,30,nan
155,2017-11-04,Saturday,48,4316.0,30,nan
156,2017-11-05,Sunday,49,2880.0,30,nan
157,2017-11-06,Monday,53,590.0,30,nan
158,2017-11-07,Tuesday,52,735.0,30,nan
159,2017-11-08,Wednesday,53,740.0,30,nan
160,2017-11-09,Thursday,50,958.0,30,nan
