,days,dow,rank,daily,theaters,special events
0,2015-10-02,Friday,1,18145681.0,3831,nan
1,2015-10-03,Saturday,1,22251765.0,3831,nan
2,2015-10-04,Sunday,1,13911129.0,3831,nan
3,2015-10-05,Monday,1,4401171.0,3831,nan
4,2015-10-06,Tuesday,1,5457240.0,3831,nan
5,2015-10-07,Wednesday,1,3741530.0,3831,nan
6,2015-10-08,Thursday,1,3801813.0,3831,nan
7,2015-10-09,Friday,1,10729571.0,3854,nan
8,2015-10-10,Saturday,1,15877535.0,3854,nan
9,2015-10-11,Sunday,1,10398160.0,3854,nan
10,2015-10-12,Monday,1,4900783.0,3854,Indig. Peoples' Day
11,2015-10-13,Tuesday,1,3454333.0,3854,nan
12,2015-10-14,Wednesday,1,2634337.0,3854,nan
13,2015-10-15,Thursday,1,2590610.0,3854,nan
14,2015-10-16,Friday,2,6277423.0,3701,nan
15,2015-10-17,Saturday,2,9456390.0,3701,nan
16,2015-10-18,Sunday,2,5566307.0,3701,nan
17,2015-10-19,Monday,1,1594290.0,3701,nan
18,2015-10-20,Tuesday,1,2100170.0,3701,nan
19,2015-10-21,Wednesday,2,1575030.0,3701,nan
20,2015-10-22,Thursday,1,1589880.0,3701,nan
21,2015-10-23,Friday,1,4353926.0,3504,nan
22,2015-10-24,Saturday,1,7265327.0,3504,nan
23,2015-10-25,Sunday,2,4113654.0,3504,nan
24,2015-10-26,Monday,1,1215127.0,3504,nan
25,2015-10-27,Tuesday,1,1574997.0,3504,nan
26,2015-10-28,Wednesday,1,1251481.0,3504,nan
27,2015-10-29,Thursday,1,1177093.0,3504,nan
28,2015-10-30,Friday,1,3475095.0,3218,nan
29,2015-10-31,Saturday,1,4564809.0,3218,Halloween
30,2015-11-01,Sunday,1,3675193.0,3218,nan
31,2015-11-02,Monday,1,1151099.0,3218,nan
32,2015-11-03,Tuesday,1,1472489.0,3218,nan
33,2015-11-04,Wednesday,1,1066793.0,3218,nan
34,2015-11-05,Thursday,1,955115.0,3218,nan
35,2015-11-06,Friday,3,2587558.0,2855,nan
36,2015-11-07,Saturday,3,4290010.0,2855,nan
37,2015-11-08,Sunday,3,2196751.0,2855,nan
38,2015-11-09,Monday,3,616711.0,2855,nan
39,2015-11-10,Tuesday,3,1049140.0,2855,nan
40,2015-11-11,Wednesday,3,1501925.0,2855,nan
41,2015-11-12,Thursday,3,673175.0,2855,nan
42,2015-11-13,Friday,4,1928448.0,2788,nan
43,2015-11-14,Saturday,4,3193837.0,2788,nan
44,2015-11-15,Sunday,4,1589886.0,2788,nan
45,2015-11-16,Monday,4,455828.0,2788,nan
46,2015-11-17,Tuesday,5,604624.0,2788,nan
47,2015-11-18,Wednesday,4,467098.0,2788,nan
48,2015-11-19,Thursday,4,417105.0,2788,nan
49,2015-11-20,Friday,8,1016327.0,2086,nan
50,2015-11-21,Saturday,7,1745675.0,2086,nan
51,2015-11-22,Sunday,7,1035768.0,2086,nan
52,2015-11-23,Monday,6,443363.0,2086,nan
53,2015-11-24,Tuesday,7,510274.0,2086,nan
54,2015-11-25,Wednesday,10,603663.0,1407,nan
55,2015-11-26,Thursday,9,621336.0,1407,Thanksgiving
56,2015-11-27,Friday,10,1341979.0,1420,nan
57,2015-11-28,Saturday,10,1310403.0,1420,nan
58,2015-11-29,Sunday,11,568684.0,1420,nan
59,2015-11-30,Monday,12,163937.0,1420,nan
60,2015-12-01,Tuesday,12,189027.0,1420,nan
61,2015-12-02,Wednesday,12,157184.0,1420,nan
62,2015-12-03,Thursday,12,151126.0,1420,nan
63,2015-12-04,Friday,11,451903.0,1140,nan
64,2015-12-05,Saturday,11,769471.0,1140,nan
65,2015-12-06,Sunday,12,384986.0,1140,nan
66,2015-12-07,Monday,11,132310.0,1140,nan
67,2015-12-08,Tuesday,12,173447.0,1140,nan
68,2015-12-09,Wednesday,11,146274.0,1140,nan
69,2015-12-10,Thursday,11,143456.0,1140,nan
70,2015-12-11,Friday,11,397265.0,1041,nan
71,2015-12-12,Saturday,11,676358.0,1041,nan
72,2015-12-13,Sunday,11,383737.0,1041,nan
73,2015-12-14,Monday,11,148620.0,1041,nan
74,2015-12-15,Tuesday,11,175666.0,1041,nan
75,2015-12-16,Wednesday,11,158991.0,1041,nan
76,2015-12-17,Thursday,12,88751.0,1041,nan
77,2015-12-18,Friday,17,113611.0,493,nan
78,2015-12-19,Saturday,17,194111.0,493,nan
79,2015-12-20,Sunday,17,142288.0,493,nan
80,2015-12-21,Monday,16,124099.0,493,nan
81,2015-12-22,Tuesday,16,144466.0,493,nan
82,2015-12-23,Wednesday,17,123735.0,429,nan
83,2015-12-24,Thursday,17,94342.0,429,nan
84,2015-12-25,Friday,23,128028.0,279,Christmas Day
85,2015-12-26,Saturday,22,204100.0,279,nan
86,2015-12-27,Sunday,22,155316.0,279,nan
87,2015-12-28,Monday,22,116352.0,279,nan
88,2015-12-29,Tuesday,22,129363.0,279,nan
89,2015-12-30,Wednesday,21,131168.0,279,nan
90,2015-12-31,Thursday,21,114951.0,279,New Year's Eve
91,2016-01-01,Friday,20,221555.0,282,New Year's Day
92,2016-01-02,Saturday,20,232840.0,282,nan
93,2016-01-03,Sunday,22,111009.0,282,nan
94,2016-01-04,Monday,21,49088.0,282,nan
95,2016-01-05,Tuesday,20,53258.0,282,nan
96,2016-01-06,Wednesday,20,47505.0,282,nan
97,2016-01-07,Thursday,19,50414.0,282,nan
98,2016-01-08,Friday,21,108274.0,271,nan
99,2016-01-09,Saturday,21,175954.0,271,nan
100,2016-01-10,Sunday,21,91685.0,271,nan
101,2016-01-11,Monday,19,40423.0,271,nan
102,2016-01-12,Tuesday,19,52024.0,271,nan
103,2016-01-13,Wednesday,19,42315.0,271,nan
104,2016-01-14,Thursday,19,51343.0,271,nan
105,2016-01-15,Friday,20,130359.0,275,nan
106,2016-01-16,Saturday,20,186884.0,275,nan
107,2016-01-17,Sunday,20,135829.0,275,nan
108,2016-01-18,Monday,22,102673.0,275,MLK Day
109,2016-01-19,Tuesday,22,39170.0,275,nan
110,2016-01-20,Wednesday,21,32974.0,275,nan
111,2016-01-21,Thursday,21,34485.0,275,nan
112,2016-01-22,Friday,25,77120.0,276,nan
113,2016-01-23,Saturday,23,144766.0,276,nan
114,2016-01-24,Sunday,23,59281.0,276,nan
115,2016-01-25,Monday,24,23847.0,276,nan
116,2016-01-26,Tuesday,24,30270.0,276,nan
117,2016-01-27,Wednesday,24,27845.0,276,nan
118,2016-01-28,Thursday,24,28163.0,276,nan
119,2016-01-29,Friday,28,56134.0,230,nan
120,2016-01-30,Saturday,27,96984.0,230,nan
121,2016-01-31,Sunday,27,58817.0,230,nan
122,2016-02-01,Monday,27,16353.0,230,nan
123,2016-02-02,Tuesday,27,18074.0,230,nan
124,2016-02-03,Wednesday,27,16695.0,230,nan
125,2016-02-04,Thursday,25,16576.0,230,nan
126,2016-02-05,Friday,30,33768.0,173,nan
127,2016-02-06,Saturday,29,61993.0,173,nan
128,2016-02-07,Sunday,30,17956.0,173,nan
129,2016-02-08,Monday,31,10642.0,173,nan
130,2016-02-09,Tuesday,28,13223.0,173,nan
131,2016-02-10,Wednesday,29,10292.0,173,nan
132,2016-02-11,Thursday,28,13188.0,173,nan
133,2016-02-12,Friday,32,17259.0,108,nan
134,2016-02-13,Saturday,32,33190.0,108,nan
135,2016-02-14,Sunday,32,34718.0,108,nan
136,2016-02-15,Monday,32,15573.0,108,Presidents' Day
137,2016-02-16,Tuesday,32,7616.0,108,nan
138,2016-02-17,Wednesday,32,6995.0,108,nan
139,2016-02-18,Thursday,33,6676.0,108,nan
140,2016-02-19,Friday,43,9157.0,75,nan
141,2016-02-20,Saturday,40,26481.0,75,nan
142,2016-02-21,Sunday,42,9588.0,75,nan
143,2016-02-22,Monday,45,2635.0,75,nan
144,2016-02-23,Tuesday,42,5196.0,75,nan
145,2016-02-24,Wednesday,43,3643.0,75,nan
146,2016-02-25,Thursday,43,3305.0,75,nan
147,2016-02-26,Friday,42,6244.0,56,nan
148,2016-02-27,Saturday,41,17685.0,56,nan
149,2016-02-28,Sunday,42,6753.0,56,nan
150,2016-02-29,Monday,42,3340.0,56,nan
151,2016-03-01,Tuesday,41,4037.0,56,nan
152,2016-03-02,Wednesday,41,4478.0,56,nan
153,2016-03-03,Thursday,42,3977.0,56,nan
