,days,dow,rank,daily,theaters,special events
0,2016-05-06,Friday,1,75502161.0,4226,nan
1,2016-05-07,Saturday,1,61209001.0,4226,nan
2,2016-05-08,Sunday,1,42427980.0,4226,nan
3,2016-05-09,Monday,1,13291876.0,4226,nan
4,2016-05-10,Tuesday,1,13761120.0,4226,nan
5,2016-05-11,Wednesday,1,8976371.0,4226,nan
6,2016-05-12,Thursday,1,8160569.0,4226,nan
7,2016-05-13,Friday,1,19612028.0,4226,nan
8,2016-05-14,Saturday,1,31960342.0,4226,nan
9,2016-05-15,Sunday,1,21064772.0,4226,nan
10,2016-05-16,Monday,1,4751083.0,4226,nan
11,2016-05-17,Tuesday,1,5928602.0,4226,nan
12,2016-05-18,Wednesday,1,3899984.0,4226,nan
13,2016-05-19,Thursday,1,3730264.0,4226,nan
14,2016-05-20,Friday,3,8612395.0,4226,nan
15,2016-05-21,Saturday,2,14623025.0,4226,nan
16,2016-05-22,Sunday,2,9704319.0,4226,nan
17,2016-05-23,Monday,1,3020789.0,4226,nan
18,2016-05-24,Tuesday,1,2889710.0,4226,nan
19,2016-05-25,Wednesday,1,2272708.0,4226,nan
20,2016-05-26,Thursday,1,2076849.0,4226,nan
21,2016-05-27,Friday,4,4046772.0,3395,nan
22,2016-05-28,Saturday,4,5793941.0,3395,nan
23,2016-05-29,Sunday,4,5555011.0,3395,nan
24,2016-05-30,Monday,4,4608785.0,3395,Memorial Day
25,2016-05-31,Tuesday,4,1548605.0,3395,nan
26,2016-06-01,Wednesday,4,1201806.0,3395,nan
27,2016-06-02,Thursday,4,1118289.0,3395,nan
28,2016-06-03,Friday,6,2096013.0,3084,nan
29,2016-06-04,Saturday,6,3311126.0,3084,nan
30,2016-06-05,Sunday,6,2422340.0,3084,nan
31,2016-06-06,Monday,6,837255.0,3084,nan
32,2016-06-07,Tuesday,6,995368.0,3084,nan
33,2016-06-08,Wednesday,6,772948.0,3084,nan
34,2016-06-09,Thursday,6,772941.0,3084,nan
35,2016-06-10,Friday,9,1169004.0,2101,nan
36,2016-06-11,Saturday,9,1884866.0,2101,nan
37,2016-06-12,Sunday,9,1260472.0,2101,nan
38,2016-06-13,Monday,9,484771.0,2101,nan
39,2016-06-14,Tuesday,9,636173.0,2101,nan
40,2016-06-15,Wednesday,9,548482.0,2101,nan
41,2016-06-16,Thursday,9,440053.0,2101,nan
42,2016-06-17,Friday,10,582077.0,1434,nan
43,2016-06-18,Saturday,10,855756.0,1434,nan
44,2016-06-19,Sunday,9,893789.0,1434,nan
45,2016-06-20,Monday,10,302031.0,1434,nan
46,2016-06-21,Tuesday,11,329956.0,1434,nan
47,2016-06-22,Wednesday,11,281124.0,1434,nan
48,2016-06-23,Thursday,11,263028.0,1434,nan
49,2016-06-24,Friday,14,425282.0,753,nan
50,2016-06-25,Saturday,13,588276.0,753,nan
51,2016-06-26,Sunday,12,355000.0,753,nan
52,2016-06-27,Monday,13,183666.0,753,nan
53,2016-06-28,Tuesday,13,229335.0,753,nan
54,2016-06-29,Wednesday,13,217363.0,753,nan
55,2016-06-30,Thursday,14,160736.0,753,nan
56,2016-07-01,Friday,16,215671.0,367,nan
57,2016-07-02,Saturday,14,307133.0,367,nan
58,2016-07-03,Sunday,15,247775.0,367,nan
59,2016-07-04,Monday,16,180650.0,367,Independence Day
60,2016-07-05,Tuesday,15,131064.0,367,nan
61,2016-07-06,Wednesday,16,115631.0,367,nan
62,2016-07-07,Thursday,18,86852.0,367,nan
63,2016-07-08,Friday,22,83589.0,238,nan
64,2016-07-09,Saturday,22,125342.0,238,nan
65,2016-07-10,Sunday,21,84286.0,238,nan
66,2016-07-11,Monday,22,40987.0,238,nan
67,2016-07-12,Tuesday,21,45003.0,238,nan
68,2016-07-13,Wednesday,23,40041.0,238,nan
69,2016-07-14,Thursday,21,41782.0,238,nan
70,2016-07-15,Friday,27,51682.0,184,nan
71,2016-07-16,Saturday,27,73531.0,184,nan
72,2016-07-17,Sunday,26,54276.0,184,nan
73,2016-07-18,Monday,25,28135.0,184,nan
74,2016-07-19,Tuesday,26,30311.0,184,nan
75,2016-07-20,Wednesday,25,28503.0,184,nan
76,2016-07-21,Thursday,27,25713.0,184,nan
77,2016-07-22,Friday,30,30426.0,116,nan
78,2016-07-23,Saturday,31,42236.0,116,nan
79,2016-07-24,Sunday,30,31021.0,116,nan
80,2016-07-25,Monday,26,18022.0,116,nan
81,2016-07-26,Tuesday,31,14819.0,116,nan
82,2016-07-27,Wednesday,26,18186.0,116,nan
83,2016-07-28,Thursday,25,24168.0,116,nan
84,2016-07-29,Friday,33,22983.0,85,nan
85,2016-07-30,Saturday,31,28018.0,85,nan
86,2016-07-31,Sunday,32,22608.0,85,nan
87,2016-08-01,Monday,31,13157.0,85,nan
88,2016-08-02,Tuesday,31,13013.0,85,nan
89,2016-08-03,Wednesday,30,14568.0,85,nan
90,2016-08-04,Thursday,33,10526.0,85,nan
91,2016-08-05,Friday,24,57308.0,174,Rio Olympics
92,2016-08-06,Saturday,23,83853.0,174,Rio Olympics
93,2016-08-07,Sunday,23,66025.0,174,Rio Olympics
94,2016-08-08,Monday,23,31668.0,174,Rio Olympics
95,2016-08-09,Tuesday,23,35795.0,174,Rio Olympics
96,2016-08-10,Wednesday,23,34535.0,174,Rio Olympics
97,2016-08-11,Thursday,23,29503.0,174,Rio Olympics
98,2016-08-12,Friday,27,52167.0,162,Rio Olympics
99,2016-08-13,Saturday,27,73940.0,162,Rio Olympics
100,2016-08-14,Sunday,27,56169.0,162,Rio Olympics
101,2016-08-15,Monday,26,24358.0,162,Rio Olympics
102,2016-08-16,Tuesday,26,29764.0,162,Rio Olympics
103,2016-08-17,Wednesday,27,23724.0,162,Rio Olympics
104,2016-08-18,Thursday,26,28060.0,162,Rio Olympics
105,2016-08-19,Friday,34,25724.0,117,Rio Olympics
106,2016-08-20,Saturday,34,41953.0,117,Rio Olympics
107,2016-08-21,Sunday,33,26658.0,117,Rio Olympics
108,2016-08-22,Monday,34,9182.0,117,nan
109,2016-08-23,Tuesday,35,9228.0,117,nan
110,2016-08-24,Wednesday,34,8727.0,117,nan
111,2016-08-25,Thursday,34,8727.0,117,nan
112,2016-08-26,Friday,35,22948.0,93,nan
113,2016-08-27,Saturday,35,36726.0,93,nan
114,2016-08-28,Sunday,35,24284.0,93,nan
115,2016-08-29,Monday,36,9292.0,93,nan
116,2016-08-30,Tuesday,37,9544.0,93,nan
117,2016-08-31,Wednesday,36,7938.0,93,nan
118,2016-09-01,Thursday,35,11038.0,93,nan
119,2016-09-02,Friday,37,27318.0,81,nan
120,2016-09-03,Saturday,37,47504.0,81,nan
121,2016-09-04,Sunday,35,52640.0,81,nan
122,2016-09-05,Monday,39,28168.0,81,Labor Day
123,2016-09-06,Tuesday,43,3793.0,81,nan
124,2016-09-07,Wednesday,42,3041.0,81,nan
125,2016-09-08,Thursday,43,3745.0,81,nan
126,2016-09-09,Friday,44,6543.0,54,nan
127,2016-09-10,Saturday,42,11791.0,54,nan
128,2016-09-11,Sunday,44,6606.0,54,nan
129,2016-09-12,Monday,47,1706.0,54,nan
130,2016-09-13,Tuesday,49,2107.0,54,nan
131,2016-09-14,Wednesday,49,1741.0,54,nan
132,2016-09-15,Thursday,48,1886.0,54,nan
133,2016-09-16,Friday,54,3119.0,34,nan
134,2016-09-17,Saturday,50,6142.0,34,nan
135,2016-09-18,Sunday,53,3770.0,34,nan
136,2016-09-19,Monday,57,787.0,34,nan
137,2016-09-20,Tuesday,59,1057.0,34,nan
138,2016-09-21,Wednesday,56,958.0,34,nan
139,2016-09-22,Thursday,57,993.0,34,nan
