,days,dow,rank,daily,theaters,special events
0,2017-06-30,Friday,1,29005340.0,4529,nan
1,2017-07-01,Saturday,1,24330080.0,4529,nan
2,2017-07-02,Sunday,1,19098605.0,4529,nan
3,2017-07-03,Monday,1,13857900.0,4529,nan
4,2017-07-04,Tuesday,1,12728355.0,4529,Independence Day
5,2017-07-05,Wednesday,1,7990315.0,4529,nan
6,2017-07-06,Thursday,1,8180065.0,4529,nan
7,2017-07-07,Friday,2,11374145.0,4535,nan
8,2017-07-08,Saturday,2,12945530.0,4535,nan
9,2017-07-09,Sunday,2,9260750.0,4535,nan
10,2017-07-10,Monday,2,4370545.0,4535,nan
11,2017-07-11,Tuesday,2,6717600.0,4535,nan
12,2017-07-12,Wednesday,2,4661250.0,4535,nan
13,2017-07-13,Thursday,2,4521670.0,4535,nan
14,2017-07-14,Friday,3,6276050.0,4155,nan
15,2017-07-15,Saturday,3,7561045.0,4155,nan
16,2017-07-16,Sunday,3,5520470.0,4155,nan
17,2017-07-17,Monday,3,2646135.0,4155,nan
18,2017-07-18,Tuesday,3,3995335.0,4155,nan
19,2017-07-19,Wednesday,3,2788330.0,4155,nan
20,2017-07-20,Thursday,3,2778710.0,4155,nan
21,2017-07-21,Friday,6,3827220.0,3525,nan
22,2017-07-22,Saturday,6,5222685.0,3525,nan
23,2017-07-23,Sunday,6,3962145.0,3525,nan
24,2017-07-24,Monday,5,2326850.0,3525,nan
25,2017-07-25,Tuesday,5,2853225.0,3525,nan
26,2017-07-26,Wednesday,5,1943435.0,3525,nan
27,2017-07-27,Thursday,5,1956120.0,3525,nan
28,2017-07-28,Friday,7,2358750.0,3030,nan
29,2017-07-29,Saturday,7,3148140.0,3030,nan
30,2017-07-30,Sunday,7,2085670.0,3030,nan
31,2017-07-31,Monday,7,1058875.0,3030,nan
32,2017-08-01,Tuesday,7,1607280.0,3030,nan
33,2017-08-02,Wednesday,7,1262250.0,3030,nan
34,2017-08-03,Thursday,6,1270040.0,3030,nan
35,2017-08-04,Friday,10,1676175.0,2445,nan
36,2017-08-05,Saturday,10,2214040.0,2445,nan
37,2017-08-06,Sunday,10,1539520.0,2445,nan
38,2017-08-07,Monday,7,1108790.0,2445,nan
39,2017-08-08,Tuesday,8,1153415.0,2445,nan
40,2017-08-09,Wednesday,8,784500.0,2445,nan
41,2017-08-10,Thursday,8,639095.0,2445,nan
42,2017-08-11,Friday,12,882970.0,2013,nan
43,2017-08-12,Saturday,12,1343320.0,2013,nan
44,2017-08-13,Sunday,12,903130.0,2013,nan
45,2017-08-14,Monday,11,446620.0,2013,nan
46,2017-08-15,Tuesday,11,683440.0,2013,nan
47,2017-08-16,Wednesday,11,429055.0,2013,nan
48,2017-08-17,Thursday,11,405540.0,2013,nan
49,2017-08-18,Friday,14,638535.0,1551,nan
50,2017-08-19,Saturday,15,862630.0,1551,nan
51,2017-08-20,Sunday,15,572645.0,1551,nan
52,2017-08-21,Monday,14,225110.0,1551,nan
53,2017-08-22,Tuesday,13,388060.0,1551,nan
54,2017-08-23,Wednesday,12,254925.0,1551,nan
55,2017-08-24,Thursday,13,210955.0,1551,nan
56,2017-08-25,Friday,16,424275.0,2116,nan
57,2017-08-26,Saturday,13,742830.0,2116,nan
58,2017-08-27,Sunday,12,583275.0,2116,nan
59,2017-08-28,Monday,12,208420.0,2116,nan
60,2017-08-29,Tuesday,11,334710.0,2116,nan
61,2017-08-30,Wednesday,11,193305.0,2116,nan
62,2017-08-31,Thursday,11,195035.0,2116,nan
63,2017-09-01,Friday,10,486090.0,2132,nan
64,2017-09-02,Saturday,9,973745.0,2132,nan
65,2017-09-03,Sunday,8,1041445.0,2132,nan
66,2017-09-04,Monday,9,753165.0,2132,Labor Day
67,2017-09-05,Tuesday,17,122065.0,2132,nan
68,2017-09-06,Wednesday,19,82085.0,2132,nan
69,2017-09-07,Thursday,21,54350.0,2132,nan
70,2017-09-08,Friday,15,163060.0,1274,nan
71,2017-09-09,Saturday,11,468565.0,1274,nan
72,2017-09-10,Sunday,11,301615.0,1274,nan
73,2017-09-11,Monday,16,50050.0,1274,nan
74,2017-09-12,Tuesday,15,82595.0,1274,nan
75,2017-09-13,Wednesday,13,68350.0,1274,nan
76,2017-09-14,Thursday,15,55035.0,1274,nan
77,2017-09-15,Friday,16,163615.0,983,nan
78,2017-09-16,Saturday,14,412130.0,983,nan
79,2017-09-17,Sunday,12,281460.0,983,nan
80,2017-09-18,Monday,16,48750.0,983,nan
81,2017-09-19,Tuesday,18,55615.0,983,nan
82,2017-09-20,Wednesday,18,43310.0,983,nan
83,2017-09-21,Thursday,13,61590.0,983,nan
84,2017-09-22,Friday,17,108110.0,539,nan
85,2017-09-23,Saturday,16,247770.0,539,nan
86,2017-09-24,Sunday,14,149320.0,539,nan
87,2017-09-25,Monday,17,25035.0,539,nan
88,2017-09-26,Tuesday,18,29420.0,539,nan
89,2017-09-27,Wednesday,18,21980.0,539,nan
90,2017-09-28,Thursday,21,19810.0,539,nan
91,2017-09-29,Friday,23,75305.0,419,nan
92,2017-09-30,Saturday,21,179320.0,419,nan
93,2017-10-01,Sunday,20,111080.0,419,nan
94,2017-10-02,Monday,22,17250.0,419,nan
95,2017-10-03,Tuesday,23,22690.0,419,nan
